파일/시트	ID 범위	주제	역할	운영 방식
archive_media_master	(SSOT·전체)	🗄 통합본(SSOT) — 전 도메인 단일 정본·편집 지점	유닛(01a~e·02~11·08a·09·00) 자동 생성 출처 — shared/build_library.py 로 투영	⛔ 편집은 이 파일에서만 → build 로 유닛 생성. 기존 항목 수정·삭제 = 사용자 이중 허락 / 새 ID 추가·정렬 OK — 라우터 §기틀 보호·apps/k/00_지침_에디터_클링 §10
01a_camera_lens_focal_length	L01–L31	렌즈 화각/초점거리	시야각, 왜곡, 압축감, 공간감 제어 (+L17 아나모픽·L18 틸트시프트·L19 조리개 페어 — 리서치 추가 260611)	독립 TSV + XLSX 시트(원본 L01~L16 무변경)
01b_camera_shot_size	S01–S21	샷 크기	피사체가 프레임 안에서 차지하는 크기 제어	독립 TSV + XLSX 시트
01c_camera_height_tilt	H01–H16	카메라 높이/기울기	위/아래 시선, 수평 기울기, 권력감/불안감 제어	독립 TSV + XLSX 시트
01d_camera_orientation	O01–O12	카메라 방향	정면, 3/4, 측면, 후면 등 피사체를 보는 방향 제어	독립 TSV + XLSX 시트
01e_camera_relationship_pov	R01–R20	관계/시점(이미지)	OTS, POV, 투샷, 그룹샷 등 관계성과 주관 시점 제어	독립 TSV + XLSX 시트
02_style_modules	STYLE01–102	화풍/스타일	포토리얼·필름·애니·회화·장르 + 노뮤트 브랜드 화풍 포인터(23·24) + 3등신·디오라마·뉴스릴·인포그래픽(25~28)	리서치 채움(260611) — 보강(260613)·실사용 검증 누적 중
03_lighting_modules	LIGHT01–60	조명	자연광·스튜디오·무드·색온도 + 무대·가로등·스크린·경광등·여명(20~24). 조명 모듈은 샷당 1개 원칙	리서치 채움(260611) — LIGHT12·19 실증·보강(260613)
04_environment_modules	ENV01–24	배경/환경	장소·세계관 변수 — 도심·관공서·법정·스튜디오·시장·시대극·자연 등 24종. 씬 헤딩(§3-1·1)·나노바나나 배경 레퍼런스(§4-1) 연계	신설(260613) — 리서치 채움·실증 연계 3종(ENV16·21·22)
05_negative_control	NEG00–42	실패 방지/네거티브	하우스 Avoid 테일(NEG00 정본)·identity lock 짝·모순 금지 + 다인물 혼동·멀티샷 드리프트 블록·오프모델(12~14)	실증 중심 채움(260611) — 보강(260613)·영상(Kling) 우선
06_camera_movement_video	M01–51	카메라 무브먼트(영상)	무브 1개/샷 원칙. 한국어 워딩 예 병기. 오빗 ≤30°/5s 등 Kling 실측 한계 내장	신설(260611) — 리서치+실증
07_pov_video	V01–V31	시점(영상)	1인칭·브이로그·바디캠·CCTV·드론 + 방송 중계·세로 직캠(13~14). CCTV 정석 레시피 포함	신설(260611) — 보강(260613)
08_style_addendum_image	S-1~30(10종)	화풍 애드덤 큐레이션본(이미지)	프롬프트 전문 — 합성·구도/인물일관성/디지털이펙트/시네마틱인물/회화 + 나노바나나 6슬롯 부록. 33→10 컷(260613·컷전 _versions)	마스터 챕터 편입 · 수정 금지 — 추가는 새 S번호로
08a_style_addendum_index	(10종)	화풍 애드덤 인덱스	S코드별 용도·핵심 키·IP 주의·Kling 전이성 한 줄 색인 — 전문은 08에서	이미지 작업은 이 인덱스로 픽 (260613 10종으로 동기화)
09_style_kling_video	KV-01–48	화풍→KLING 영상 전이	전이 가능 화풍의 영상화 각색 지시문 + 정지 전용 화풍의 스타트프레임 경유 규칙	신설(260611) — 영상 작업은 이 파일로 픽
10_audio_music	AU-01–92	음악·오디오 연출	영화음악 이론→프롬프트 매핑(다이제틱~침묵) · 쇼츠 음악 전략(훅·루프) · 후반 파이프(BPM·덕킹·LUFS) + 속보 톤·국악 베드(19~20)	신설(260611) — 보강(260613)·풍자 무기 = AU-05·06·08
11_acting_shadow_light	AN-01–42 · SH-01–24 · LC-01–40	애니 연기·그림자·고급 조명	12원칙→프롬프트(마이크로모션·동사 연기·카툰 물리⚪) · 그림자 결함 예방(방향 쌍·접지) · 고급 조명(연속성 블록·네거티브 필·켈빈·그레이딩)	신설(260611) — 인물 샷 기본 = AN-03·10 / 멀티샷 기본 = LC-01·03
12_lighting_emotion	LGT01–22	감정조명(무드)	정서별 무드 조명 — 아침광·새벽광·저조도·촛불·골든아워·역광 실루엣	백과사전 흡수(260613 · /news 출신) — LGT09=B 극화 디폴트·LGT10=안전 시각화
13_style_news_canon	NST-A·B·ACCENT	뉴스 화풍 2종 정본	한국 웹툰 수채화(A)·극화(B) + 악센트 공식(#0FFD02)	백과사전 흡수(260613) — STYLE23/24 가 가리키던 정본 실데이터
14_color_grading	CT·CG·CE·GR·PAL	색이론	색온도 사전(소스→켈빈)·색보정 어휘·색-감정 매핑·기괴함 공식(closure)	백과사전 흡수(260613 · /news 출신)
15_visual_rhetoric	VR	시각 수사학	Ethos/Pathos/Logos · 게슈탈트 · 구성선 · 시각무게 4요소	백과사전 흡수(260613) — '이미지=설득 행위자'
16_curation_dispatch	CD	큐레이션 디스패치	카드 정서·역할 → 화풍·샷·앵글·화각·조명 코드 매핑	백과사전 흡수(260613 · /news 출신)
17_composition	COMP-01–42	합성·배치	좌우분할·옹기종기·둘러싸여·빈의자(부재)	백과사전 흡수(260613 · /news 출신)
18_english_tails	ET-01–12	영문 테일 3종	품질 테일·identity lock·Avoid(NEG00)+멀티샷(NEG13)·압축 원칙	백과사전 흡수(260613 · /k 지침 §5) — 지침 본문도 유지
19_safety_frame_prompts	SF-01–09	안전망·프레임 산문	카드 프레임 산문·네거티브 산문(GPT Image 2)	백과사전 흡수(260613 · /news §9) — 운영 강제는 지침
20_aspect_ratio_format	AR-01–12	화면비/포맷	9:16·4:5·1:1·16:9·2.39 스코프 등 종횡비별 서사 효과·요청 키워드	신설(260613·400%) — 쇼츠/카드/시네마 비율 · PE-15와 세트
21_transitions_editing	TR-01–41	편집 전환	하드컷·매치컷·J/L컷·몽타주·교차편집 등 멀티샷 전환 문법(네이티브 vs 후반 구분)	신설(260613·400%) — Kling 멀티샷 시퀀싱 · 머치 룰오브식스
22_expression_emotion	EM-01–45	표정·감정(FACS)	Ekman 7정서·FACS Action Unit·시선·신체언어 → 보이는 근육동작 프롬프트	신설(260613·400%) — 인물 클로즈업 정밀 · 진짜/가짜 미소 등 풍자 코어
23_weather_atmosphere	WX-01–26	날씨·대기	비·눈·안개·황사·폭염·태풍 등 + Kling 모션 노트(계절감·한국 시의성)	신설(260613·400%) — 대기=영상 모션 소스
24_film_movements	FM-01–20	영화 사조	독일표현주의·누벨바그·네오리얼리즘·지알로·K멜로 등 사조별 비주얼 코드	신설(260613·400%) — 풍자 재연 레지스터(IP는 기법 기술로 우회)
25_vfx_effects	FX-01–42	VFX·이펙트	화염·연기·홀로그램·글리치·렌즈플레어·이중노출 등(모델 취약도 명시)	신설(260613·400%) — 영상/이미지 공용 효과
26_prompt_engineering_meta	PE-01–36	프롬프트 공학 메타	구성순서·프론트로딩·CLIP77·CFG·네거 경제·레퍼런스 컨디셔닝 등 논문 기반	신설(260613·400%) — 라이브러리 운용의 메타층 · 05/18/19 인덱스
27_materials_texture	MT-01–36	재질·텍스처	피부·금속·유리·물·직물·종이·돌·네온·연기·음식·금박 등 질감 + 증거 인서트(도장 MT-35·지폐 MT-36)	신설(260613·400% w2) — 매크로 렌즈(L13/L23) 연계
28_set_production_design	SET-01–36	세트·프로덕션 디자인	소품 서사·클러터vs미니멀·지위 신호·시대 고증·한국 디테일(관공서·시위·법정·회견)	신설(260613·400% w2) — ENV를 "어떻게 꾸미나"(ENV·17·15 연계)
29_wardrobe_props	WP-01–60	의상·소품(기표)	권력정장·제복·한복·시위복(머리띠·몸자보)·부의 기표·직업복·권력 소품 → 사회적 기표	신설(260613·400% w2) — 캐리커처 핵심·실존인물은 SF-07 전제
30_genre_conventions	GEN-01–26	장르 비주얼 문법	호러·스릴러·느와르·하이스트·법정·재난·코미디·정치스릴러 등 카메라+조명+색+페이싱 툴킷	신설(260613·400% w2) — 24 사조와 구분(사건을 장르로 재연)
31_graphic_title_design	GT-01–35	그래픽·타이틀	로어서드·말자막·뉴스티커·헤드라인슬램·콜아웃·AI고지 — 한글 텍스트는 후반 합성	신설(260613·400% w2) — 대부분 후반(NEG03·PE-23)
32_blocking_staging	BLK-01–18	블로킹·스테이징	180/30도 법칙·삼각·깊이·권력 포지셔닝·포위·도열 등 인물 배치·동선	신설(260613·400% w2) — 구도(17)와 구분(누가 어디 서고 어떻게 움직이나)
33_gesture_interaction	GST-01–27	제스처·상호작용	악수·포옹·박수·삿대질·주먹·절·합장·어깨동무·멱살/밀치기·서류던지기·선서 등 손짓·2인 물리 상호작용	신설(260613·400% w2) — 보이는 동작 묘사·AN/EM 연계·손 왜곡 NEG01 병기 권고
34_era_period_visual	ERA-01–19	시대·연대 비주얼	글로벌 연대(1920s~2010s)+한국 시대(조선·개화기·일제·전후·산업화·민주화·IMF·2002·스마트폰기) 룩	400% w3 신설(260613) — 시대 재연·시대극 풍자
35_abstract_experimental	AB-01–30	추상·실험 기법	칼레이도·프랙탈·열화상·X레이·데이터벤딩·입자계·잉크/마블링·노이즈필드 등	400% w3 신설 — 시스템·데이터·감시 메타포
36_korea_cultural_ref	KR-01–40	한국 문화 비주얼 레퍼런스	한옥·명절·시위문화(촛불·근조화환)·정치비주얼(본회의·청문회·포토라인)·일상기표·종교·전통색	400% w3 신설 — 한국 콘텐츠 핵심 축
37_scene_setpieces	SC-01–21	시나리오 세트피스	반복 시사상황(사과회견·국회충돌·법정선고·시장방문·압수수색 등) 3~5샷 멀티샷 레시피(모듈 ID 조립)	400% w3 신설 — 원자 모듈→장면 빌딩블록
38_cardnews_distance_crop	DF-01–31	카드뉴스 거리·크롭	상황·감정→거리/크롭 결정(비통=눈·분노=주먹·폭로=서류매크로 등, 하단~40% 오버레이 회피)	400% w4 신설(260613) — ★카메라 최우선
39_cardnews_angle_height	AG-01–22	카드뉴스 앵글·높이	상황·심리→각도(피해자 눈높이·권력자 로우↔하이 반전·구조 부감·윤리 카메라)	400% w4 신설 — ★카메라 최우선
40_cardnews_staging	SG-01–25	카드뉴스 상황 연출	한 프레임에 사건·관계 읽히게(전후대비·인과·대치·포위·폭로·뒷거래·시선표적 등)	400% w4 신설 — ★카메라 최우선·이미지=설득 행위자
41_style_fusion	FUS-01–36	화풍 퓨전(양식×양식)	거장·양식을 주60%+종40%(PE-28)로 혼합한 새 룩 레시피	400% w4 신설 — 거장 비율 혼합
42_crossdomain_fusion	CDF-01–25	교차 퓨전	화풍×조명×색×렌즈 교차로 독창 무드(충돌=의미)	400% w4 신설
43_creator_tips_image	CTI-01–37	크리에이터 이미지 팁	커뮤니티 현장 프롬프트 노하우(MJ·Gemini/나노바나나·SD) — 26 PE 원리의 실전판	400% w4 신설 — X·레딧·벤더 가이드 수집
44_creator_tips_video	CTV-01–36	크리에이터 영상 팁	Kling·Sora·Veo·Hailuo·Runway 모델별 현장 노하우	400% w4 신설 — 커뮤니티 수집
45_creator_tips_framing_pov	CTP-01–32	크리에이터 1인칭·구도·액션 팁	손 프레임 진입·전경차폐·착지점 선포커싱·FPV·아이라인 등 촬영 현장 요령	400% w4 신설 — 1인칭·액션 팁 수집
46_creator_tips_viral	CTS-01–30	크리에이터 바이럴 쇼츠 팁	0~3초 훅·세로 안전영역·루프·워드바이워드 자막·페이싱	400% w4 신설 — 쇼츠 리텐션 현장 팁
47_action_dynamics	ACT-01–33	액션·동세 촬영	정점 정지·모션블러·패닝·임팩트·궤적(Kling 고속 취약을 정지/슬로모로 우회)	400% w4 신설 — 시위·충돌·도주 풍자
