ID	한국어명	영문명	Gemini 키워드	영상(Kling) 노트	용도/효과	추천 조합	리스크	비고
MT-01	피부(모공·질감)	Skin Pores / Texture	natural skin texture, visible pores, subsurface scattering, fine vellus hairs, slight oil sheen	정지에 가까운 미세 호흡·눈깜빡임만, 표면 변화 없음	인물 클로즈업 리얼리즘·인간미	L13 매크로·S10 ECU·LGT03	과하면 '플라스틱 vs 거친 피부' 양극단	얼굴 신뢰의 기본. 무보정 룩
MT-02	주름·노화 피부	Wrinkles / Aged Skin	deep wrinkles, crow's feet, sagging skin, age spots, weathered skin texture	근육 미동에 주름 따라 접힘, 느린 표정 변화	연륜·피로·세월·권력자 해부	S08 CU·LGT09·EM(피로)	나이 임의 증감 — 정체성 락 필요	풍자=노쇠한 권력 강조
MT-03	땀	Sweat / Perspiration	beads of sweat, glistening perspiration, damp sheen on forehead and temples	땀방울 천천히 맺히고 또르르 흘러내림(Kling 액체 강점)	긴장·심문·거짓말 탐지·압박	S12 초커·LGT04 직사·MT-01	땀방울 부유·증발 비현실 가능	위선·식은땀 풍자 코어
MT-04	크롬·폴리시 금속	Polished Chrome	mirror-polished chrome, reflective metal, specular highlights, environment reflections	표면 반사가 카메라 무브에 따라 흐름, 형태 일정	고급·차가움·권력 상징 인서트	L23 트루매크로·LGT(스펙큘러)·CE-08	주변 반사에 텍스트·로고 환각	트로피·명패·고급차 광택
MT-05	녹슨 철	Rusted Iron	rusted iron, orange-brown corrosion, flaking rust, pitted oxidized metal	정적, 입자 떨어짐 없음(미세 바람 먼지만)	쇠락·방치·산업 폐허·낡은 체제	ENV(폐허)·CG-02 탈색·WX-08	부식 패턴 균질해 가짜처럼 보일 수 있음	부패·녹슨 시스템 은유
MT-06	황동·청동	Brass / Bronze	aged brass, warm golden metal, soft tarnish, antique bronze patina	정적, 표면 반사 은은	관청 명패·동상·구식 권위	MT-15 녹청·LGT(텅스텐)·ENV(관공서)	금색과 혼동	오래된 권위·기념물
MT-07	금(순금)	Gold	pure gold, lustrous yellow gold, soft reflective sheen, luxurious metallic glint	반짝임이 빛 각도 따라 미끄러짐	부·탐욕·뇌물·사치 풍자	MT-21 보석·MT-04·CE-07 보라	싸구려 노란 플라스틱처럼 될 위험	금괴·금배지=부패 인서트
MT-08	투명 유리	Clear Glass	clear glass, transparent surface, sharp refractions, caustic light, edge reflections	빛 굴절·굴절선이 무브에 따라 변화	정밀·차가움·격리·취조실	L13 매크로·LGT(역광)·MT-04	굴절·두께 비현실, 형태 일그러짐	유리벽=거리·감시
MT-09	성에·결로 유리	Frosted / Condensation Glass	frosted glass, condensation droplets, fogged window, water beading and trickling	물방울 천천히 맺혀 흘러내림(액체 강점)	은밀·내부 차단·우울·서정	WX(비)·MT-12 물방울·LGT05	—	창밖 비·익명성 가림
MT-10	깨진 유리	Shattered Glass	shattered glass, cracked surface, spiderweb fractures, sharp glass shards	파편 정지 권장(파괴 순간은 1샷 할애)	충격·폭로·파국·관계 파탄	FX-02 폭발·M22 슬로모·CE-01	비산 물리 매우 취약 — 정지 인서트로	깨진 신뢰·금 간 권위
MT-11	물 잔물결	Water Ripple	still water with gentle ripples, reflective surface, soft concentric rings	잔물결 천천히 퍼짐(Kling Fluid 강점)	정적·반영·여운·성찰	MT-04 반사·LGT05·COMP	—	수면 반영=이중성 인서트
MT-12	물방울	Water Droplet	water droplet, beading on surface, surface tension, glistening drop	물방울 맺혀 또르르 떨어지며 파문	디테일·신선·긴장(MT-03 땀과 구분)	L23 트루매크로·LGT(역광)	부유·증발 비현실	이슬·눈물·결로 매크로
MT-13	격류·물보라	Torrent / Splash	rushing water, churning rapids, splashing white foam, dynamic spray	격류 빠른 흐름·물보라 비산(고난도·1샷)	위기·격정·재난·휩쓸림	WX-02 폭우·M22·AU-13	물 비산 = AI 최취약, 노이즈	홍수·범람 보도
MT-14	얼음	Ice	clear ice, frosted ice crystals, frozen surface, cold blue tint, melting drip	천천히 녹아 물방울 맺힘	차가움·정지·경직·동결	CE-03 블루·MT-12·LGT12 임상	내부 기포·투명도 비현실	'얼어붙은' 분위기·동결 자산
MT-15	녹청(파티나)	Patina / Verdigris	green verdigris patina, oxidized copper, organic weathering, brown-to-turquoise oxidation	정적, 표면 변화 없음	세월·부식·방치된 동상·낡은 권위	MT-06 황동·ENV(고궁)·CG-02	—	'오래되어 푸르게 삭은' 권위
MT-16	실크·한복 비단	Silk / Hanbok Satin	liquid silk fabric, luminous sheen, smooth satin folds, flowing drape, hanbok silk	천이 바람·움직임에 우아하게 흐름(Fluid 강점)	고급·전통·우아·격조	STYLE(시대극)·LGT(소프트)·ENV(고궁)	광택 과하면 플라스틱	한복·예복·전통 풍자
MT-17	데님	Denim	denim fabric, visible diagonal twill weave, faded indigo, worn seams and stitching	정적, 인물 동작에 자연 주름	서민·일상·노동·캐주얼	S06 MS·자연광·MT-19	—	대중·평범함 신호
MT-18	울·니트	Wool / Knit	chunky cable-knit wool, visible knit stitches, soft fuzzy fibers, cream texture	정적, 부드러운 질감	따뜻·겨울·아늑·서민	WX(눈)·LGT(텅스텐)·MT-30	—	포근함·계절감
MT-19	가죽	Leather	worn leather, fine grain texture, scuffs and creases, supple sheen	정적, 굽힘에 주름	권위·고급·낡음·터프함	MT-26 원목·LGT(로우키)·ENV(서재)	—	고급 의자·서류가방=지위
MT-20	종이(문서)	Paper / Document	paper document texture, fine fiber grain, crisp white sheet, printed text surface	정지 인서트(텍스트 환각 주의)	증거·서류·공문·관료	L23 트루매크로·LGT04·MT-31	한글·숫자 텍스트 환각 — 클로즈업 금물	증거 인서트=풍자 핵심
MT-21	구겨진 종이	Crumpled Paper	crumpled paper, deep creases, wrinkled crushed sheet, shadowed folds	정적 또는 손이 구겨 던지는 1동작	폐기·무효·좌절·은폐	M(손동작)·LGT(측광)·CE-05	—	찢긴 약속·폐기된 공약
MT-22	낡은·바랜 종이	Aged / Yellowed Paper	aged yellowed paper, foxing stains, brittle worn edges, faded ink	정적	과거·기록·아카이브·역사	CG-15 페이드·STYLE(세피아)·MT-15	—	옛 문서·역사 회고
MT-23	돌·대리석	Stone / Marble	polished marble, natural veining, cold stone surface, subtle translucency	정적, 표면 반사	권위·영속·기념·차가움	ENV(법정·청사)·MT-04·LGT(스펙큘러)	결 패턴 균질·가짜 느낌	국회·법원=권위의 돌
MT-24	콘크리트	Concrete	raw concrete, exposed aggregate, gray rough surface, water stains and cracks	정적	삭막·관료·도시·무기질	STYLE(브루탈리즘)·CG-02·ENV(도심)	—	차가운 시스템·삭막함
MT-25	플라스틱·고무	Plastic / Rubber	molded plastic, matte rubber, scuffed synthetic surface, cheap glossy finish	정적	값쌈·일회용·인공·조악	CE-08·LGT(형광)·MT-07 대비	—	싸구려·가짜 vs 금(MT-07)
MT-26	원목	Raw / Solid Wood	solid wood grain, natural timber texture, warm tones, visible knots	정적	따뜻·자연·전통·고급 가구	MT-19 가죽·LGT(텅스텐)·ENV(서재)	—	책상·마루=품격
MT-27	낡은 나무	Aged / Weathered Wood	weathered wood, peeling paint, gray cracked timber, splintered grain	정적	쇠락·시골·세월·방치	WX·CG-15·ENV(폐가)	—	낡은 정자·퇴락
MT-28	도자기	Porcelain / Ceramic	glazed porcelain, smooth ceramic surface, soft glossy sheen, fine crackle glaze	정적, 표면 반사	정밀·전통·섬세·취약	ENV(고궁)·MT-16·LGT(소프트)	—	도자기=깨지기 쉬운 가치
MT-29	네온·발광체	Neon / Glow	glowing neon tube, vivid luminous light, soft bloom halo, electric glow	네온 깜빡임·점멸(과하면 불안정)	도시밤·인공·향락·디지털	STYLE(사이버)·LIGHT08·CE-09	한글 네온 텍스트 환각	유흥가·밤문화 풍자
MT-30	모피·털	Fur / Hair	soft dense fur, visible individual hairs, warm undercoat, fluffy strands	털이 바람·움직임에 결대로 흔들림	부유·사치·동물·따뜻함	MT-07·LGT(림라이트)·CE-07	개별 털 가닥 비현실·뭉침	모피=사치 풍자
MT-31	기름기·신선(음식)	Greasy / Fresh Food	glistening greasy surface, fresh moist food, appetizing sheen, sizzling oil	기름 윤기 흐름·김 모락(Fluid 강점)	먹방·풍요·탐욕·접대·향응	MT-32 김·LGT(역광)·S10 ECU	기름·윤기 과하면 비현실	접대·향응 풍자 인서트
MT-32	연기·증기 질감	Smoke / Steam	billowing smoke, swirling steam, soft volumetric haze, drifting vapor	연기 천천히 피어올라 소용돌이(Fluid 강점)	은폐·불길·온기·모호함	FX-03·LIGHT16 갓레이·MT-31	흐름 일관성 약함·형태 끊김	연막·은폐 vs 김(온기) 구분
MT-33	금박·보석	Gold Leaf / Gemstone	gold leaf, sparkling gemstone, faceted jewel, brilliant refractive sparkle	보석 반짝임이 빛 각도 따라 점멸	사치·뇌물·허영·과시	MT-07 금·MT-04·LGT(스펙큘러)	광채 과장·플라스틱化	보석·금박=부패·허영
MT-34	흙·먼지	Dirt / Dust	dusty surface, fine dirt particles, dry cracked earth, settled grime layer	먼지 입자 공중 부유·빛줄기에 떠다님	방치·세월·서민·먼지 쌓인 진실	LIGHT16 갓레이·CG-02·MT-05	부유 입자 깜빡임	'먼지 쌓인' 묵은 의혹
MT-35	도장·인주	Seal / Red Ink Stamp	red ink seal impression, vermilion stamp mark, official chop, ink texture on paper	정지 인서트(찍는 1동작 가능)	결재·승인·관료·공식 도장	MT-20 종이·L23 트루매크로·MT-04	도장 글자 환각 — 추상 패턴으로	도장=관료 권력 증거 코어
MT-36	지폐·현금	Banknote / Cash	stacked banknotes, paper currency texture, fine engraving detail, money bundle	정지 인서트(세는 손동작 가능)	뇌물·돈·탐욕·거래 증거	MT-07·M(손동작)·LGT04	실제 통화 도안·문자 환각 — 추상화	돈다발=부패 증거 핵심 인서트
