ID	분류	한국어명	영문명	Gemini 키워드	용도/풍자	추천 조합	비고
WP-01	권력 정장	맞춤 다크 수트	tailored dark business suit	well-tailored dark navy suit, crisp white shirt, neat slim cut, polished	기득권·권위·공직 — 정장 자체가 '제도권'의 기표. 풍자는 핏을 어긋내(낀 단추·번들거림)	STYLE07+LIGHT15+EM-12(직시)	실존 인물은 캐리커처·라벨(SF-07)로만. 가장 기본 기표
WP-02	권력 정장	넥타이 색 코드	necktie color code	silk necktie in saturated [red/blue] color, bold knot	빨강=공세/보수 진영, 파랑=진보 진영 — 색이 곧 진영 선언(한국 정당색 함의)	WP-01+CE(색-감정)+VR-29	색 매핑은 14 CE 참조. 진영 풍자의 최단 기호
WP-03	권력 정장	번들거리는 과시 수트	flashy glossy power suit	glossy sharkskin suit, oversized shoulders, loud pocket square, gaudy	졸부·과시·허세 권력 — 광택·과장으로 천박함 폭로	STYLE25(3등신)+LIGHT17	풍자 톤. 절제 수트(WP-01)와 대비 연출
WP-04	제복	경찰 제복	Korean police uniform	dark navy Korean police uniform, peaked cap, badge, utility belt	공권력·단속·진압 — 보호 vs 억압의 양가성 풍자	ENV(관공서)+LIGHT18(형광)+EM-09	계급장·소속은 가상 처리. 실제 마크 복제 회피
WP-05	제복	군 전투복	military combat fatigues	camouflage combat uniform, beret or helmet, rank insignia	군·안보·동원 — 권위·강경·비상사태 기표. 풍자는 부조화 맥락(회의실 군복)	WP-15(국기)+LIGHT04+H03(로우)	특정 부대 마크 회피. 안보 정국 재연
WP-06	제복	소방·구조복	firefighter / rescue gear	yellow-and-black bunker gear, reflective stripes, helmet	재난·구조·헌신 — 영웅성 또는 재난 책임 풍자	GEN-09(재난)+WX(연기)+LIGHT22	재난물 장르와 세트. 반사 스트라이프가 식별 키
WP-07	제복	교복	Korean school uniform	Korean high-school uniform, blazer, name tag, neat collar	교육·세대·청년 — 입시·청소년 정책 풍자. 이름표=개인 식별 기표	STYLE12(애니)+EM-04	아동·미성년 표현은 SF 안전망 준수. 캐리커처 한정
WP-08	제복	법복	judge's robe	black judicial robe, formal collar, gavel nearby	사법·판결·권위 — 정의 vs 자의적 권력 풍자. 가운=초월적 권위 기표	GEN-06(법정)+WP-31(도장)+LIGHT19	법정 장르와 핵심 세트. 망치(gavel)=환유
WP-09	전통복	한복(채색)	colorful hanbok	vibrant traditional Korean hanbok, flowing lines, jeogori and chima	전통·민족·격식 — 명절·국가의례. 국회 등장 시 진영 퍼포먼스 기표(실측: 여당 채색 한복)	STYLE02+ENV(시대극)+LIGHT07	실측 출처: 국회 한복 vs 흑정장 대비 사례
WP-10	전통복	흰 한복(저항)	white hanbok (resistance)	plain white hanbok, austere undyed cloth, somber dignity	저항·애도·청렴 — 흰색=반부패·민중·독립운동의 기표(역사적 함의)	WP-29(검은리본)+LIGHT05+STYLE03	검증: 흰 한복=근대 한국 저항의 상징(연구 정설)
WP-11	시위 복장	노조 투쟁 조끼	union struggle vest	colored cotton labor vest over shirt, printed union slogans, worn look	노동·파업·조직 — 색·문구로 노조 소속 선언. 한국 시위 패션의 기본 3종 중 하나	WP-12+WP-13+GEN-15(정치스릴러)	검증: 조끼+머리띠+몸자보=한국 시위 정복. 문구는 가상
WP-12	시위 복장	머리띠	protest headband	red or white cotton headband with bold printed slogan tied around forehead	결의·투쟁·각오 — 이마의 구호=비타협 선언	WP-11+EM-09(분노)+M(휩팬)	검증: 시위 기본 3종. 한국 특유 기표
WP-13	시위 복장	몸자보(바디배너)	body banner / sash	cloth sash worn across the torso with large printed protest text	개인=걸어다니는 피켓 — 몸 자체를 메시지 매체로	WP-11+COMP-04(환유)	검증: body-banner=한국 시위 정복 요소
WP-14	시위 복장	피켓·플래카드	picket sign / placard	hand-held cardboard placard with bold hand-lettered slogan, raised high	직접 호소·구호 — 손글씨 패널이 곧 발화. 풍자=구호를 반전 카피로	GEN-15+COMP+EM-13	텍스트는 후반 합성 권장(NEG03 — 한글 렌더 취약)
WP-15	시위 복장	태극기·성조기	Korean / US flag prop	handheld Korean flag, sometimes paired with US flag, waved in a crowd	진영 정체성 — 광장 집회의 깃발 기표. 성조기 병용=특정 진영 코드(실측)	WP-05+GEN-15+M14(군중)	검증: 2024~25 탄핵 정국 태극기·성조기 병용 실측
WP-16	시위 복장	응원봉(라이트스틱)	K-pop light stick	glowing K-pop light stick held aloft in a night crowd, sea of colored lights	신세대 평화 시위 — 응원봉=비폭력·축제형 저항의 새 기표(2024 탄핵 집회)	GEN-09(군중)+LIGHT08(네온밤)+WX-야경	검증: 2024 탄핵 시위 응원봉 = 저항 상징화(다수 보도)
WP-17	시위 복장	마스크(구호면)	protest face mask	surgical or cloth face mask, sometimes printed with a short slogan	익명·저항·발화면 — 얼굴 가림+슬로건 표면 이중 기능	WP-12+EM(눈만 노출)	검증: 마스크=연막 방어+슬로건 표면. 익명성 풍자
WP-18	시위 복장	삭발	shaved head (protest)	freshly shaved head, scattered hair clippings, defiant expression	극한 항의 — 삭발=배수진·결사항전의 한국적 퍼포먼스 기표	EM-09+S08(클로즈업)+LIGHT05	검증: 삭발=한국 정치 항의의 오랜 전통. 강도 최상
WP-19	종교·의례복	성직자 복장	clergy vestments (generic)	generic clerical robe and collar, modest devotional dress	종교·도덕·권위 — 성속(聖俗) 위선 풍자. 특정 교단 식별 회피	LIGHT07(촛불)+STYLE19+ENV	특정 종교 비방 회피 — 일반화된 의례복으로
WP-20	종교·의례복	상복·근조	mourning attire	all-black mourning dress, white chrysanthemum, somber armband	애도·국상·책임 — 검은 옷=조의 또는 항의(흑정장 항의 사례)	WP-29+LIGHT05+WP-10	검증: 흑정장+검은리본=국회 애도형 항의 실측
WP-21	부의 기표	명품 시계	luxury wristwatch	oversized gold luxury wristwatch glinting on the wrist, ostentatious	부·특권·부패 — 손목의 한 점이 계급 폭로. 클로즈업 환유	WP-03+S10(익스트림CU)+COMP-04	브랜드 로고 회피 — 일반 '고가 시계'로. 부패 풍자 단골
WP-22	부의 기표	선글라스	dark designer sunglasses	sleek dark sunglasses hiding the eyes, cold detached look	위세·은폐·냉담 — 눈 가림=불통·권위. 표정 차단으로 비인간화	WP-03+EM-13(비응시)+LIGHT04	눈 가림=demand/offer 차단(VR-24). 거만 기표
WP-23	부의 기표	고급차 키·리모컨	luxury car key fob	expensive car key fob held casually, valet ticket	재력 과시 — 일상 소품으로 계급 노출. 풍자=서민 맥락과 부조화	WP-21+ENV(도심)	브랜드 엠블럼 회피. 소품 한 점의 계급 신호
WP-24	직업복	의사 가운	doctor's white coat	white medical coat, stethoscope, ID badge, clinical neat	의료·전문성·권위 — 의료 정책·파업 풍자. 청진기=직능 환유	ENV(병원)+LIGHT18+WP-30(명찰)	의료 정국 재연. 가운+청진기 식별 키
WP-25	직업복	작업복·안전모	worker's coveralls & hard hat	blue industrial coveralls, yellow safety helmet, worn gloves	노동·산업·현장 — 땀의 정직성 또는 산재·안전 풍자	GEN-12(사회리얼)+LIGHT18+WP-11	안전모 색=직군 코드. 노동 현장 기표
WP-26	직업복	앞치마(상인)	merchant's apron	market vendor's apron, sleeve guards, work-worn	서민·자영업·민생 — 시장 상인=민생의 얼굴. 민생 정책 풍자	ENV(시장)+STYLE03+LIGHT01	서민 대표 기표. 시장 환경과 세트
WP-27	직업복	정치인 점퍼	politician's field jacket	practical zip-up field jacket worn over a shirt, rolled sleeves, 'man of the people' look	민생 행보·현장 정치 — 점퍼=서민 코스프레 기표. 풍자=가식 폭로	WP-26+ENV(시장)+EM-03(가짜미소)	한국 정치인 '민생 점퍼' 관용. 위선 풍자 단골
WP-28	직업복	방탄조끼(유세)	campaign bulletproof vest	bulletproof tactical vest worn over a suit during a public appearance	정치 폭력·양극화 — 유세 방탄복=극단 대립의 시대 기표(실측)	WP-01+GEN-15+EM-08(긴장)	검증: 2025 방탄조끼 유세 보도. 폭력·분열 시사
WP-29	액세서리	리본 배지	ribbon badge	small colored ribbon pin on the lapel, [yellow/black] symbolic ribbon	추모·연대·캠페인 — 노란리본=세월호 추모·연대 기표(역사적 함의)	WP-10+WP-20+COMP-04	검증: 노란리본=세월호 추모·민주화 상징(위키 등). 색별 함의
WP-30	액세서리	명찰·완장	name tag / armband	official name tag or colored armband marking rank or role	직책·권한·소속 — 완장=위임된 권력. '완장 찼다'=권력 남용 풍자	WP-04+WP-30+VR-17(환유)	완장=한국어 권력남용 관용구의 시각화
WP-31	소품 권력기호	도장(인장)	official seal / stamp	large official ink seal pressed onto a document, red stamp mark	결재·승인·관료 — 도장=관료 권력의 환유. 한국 행정 특유 기표	WP-08+GEN-06+COMP-04	도장 문화=한국 행정 고유. 결재 권력 풍자
WP-32	소품 권력기호	서류가방	briefcase / document folder	formal leather briefcase or thick document folder clutched tightly	기밀·거래·관료 — 가방 속 무엇? 음모·로비 환유	GEN-14(첩보)+VR-17+EM-08	빈 의자·가방=부재/음모 환유(COMP). 첩보 톤
WP-33	소품 권력기호	마이크·확성기	microphone / megaphone / bullhorn	a cluster of news microphones, or a handheld bullhorn raised to the mouth	발화·선동·여론 — 마이크 다발=언론 포위, 확성기=선동. 발화권 기표	GEN-15+AU-01(다이제틱)+V13(중계)	마이크 다발=취재 환유. 확성기=시위 음원(AU-01)
WP-34	소품 권력기호	트로피·상패	trophy / award plaque	gleaming trophy or award plaque held up, self-congratulatory	자화자찬·치적 — 트로피=과시. 풍자=초라한 실상과 병치	WP-03+VR-18(반어)+LIGHT17	자화자찬 풍자. 반어 병치로 효과
WP-35	소품 권력기호	국기·엠블럼	flag stand / official emblem	national flag on a stand, official lectern emblem behind a speaker	공식성·국가 권위 — 연단 뒤 국기=공인된 발화. 풍자=권위 빌리기	WP-01+ENV(관공서)+V13	기관 엠블럼은 가상화. 공식 권위 무대장치
WP-36	시대별 의상	7080 복고	1970s-80s Korean retro	wide-collar shirt, bell-bottoms, vintage Korean 70s-80s street fashion	향수·개발연대·권위주의 시대 — 복고=시대 소환. 과거 정치 풍자	STYLE07(70s)+FM-19+LIGHT01	시대극 재연. 개발독재기 톤
WP-37	시대별 의상	90년대 복고	1990s Korean retro	90s oversized blazer, bold patterns, early-mobile-phone era styling	X세대·민주화 이후 — 90s=세대 기억. 그 시대 사건 재연	STYLE07+FM-19+ENV	연도 식별 키. 세대 풍자
