ID	분류	한국어명	영문명	신체/동작 단서	Gemini 키워드	GPT/영상 산문	효과	비고
GST-01	악수	악수(대등)	Handshake (Equal)	두 손이 같은 높이 수직으로 맞물려 두세 번 위아래로 흔듦	two hands clasped at equal height, palms vertical, shaking firmly two or three times	Two hands meet level and vertical, a firm even shake — neither above the other	대등·합의·공식	손 왜곡 리스크: NEG01 병기 권고
GST-02	악수	악수(과시·기싸움)	Power Handshake (Pull/Top)	한 손이 위로 덮어 손등이 보이거나 상대를 자기 쪽으로 홱 끌어당김	one hand turned palm-down on top, or yanking the other person off balance toward himself	한 손이 위에서 덮거나 상대를 제 쪽으로 홱 끌어당김 — 기선제압	지배·과시·길들이기	정치 기싸움 풍자. NEG01 병기. EM-23 첨탑과 권력축
GST-03	악수	악수(억지·뻣뻣)	Reluctant Handshake	손끝만 살짝 닿고 몸은 뒤로 물러나며 시선은 딴 데	fingertips barely touching, body leaning away, eyes averted elsewhere	손끝만 겨우 닿고 몸은 뒤로, 시선은 딴 데 — 마지못해	불화·형식·냉기	2인 대치 풍자. EM-13 회피시선·EM-22 팔짱과 세트. NEG01
GST-04	포옹	포옹(진심)	Genuine Embrace	두 팔 깊게 두르고 등에 손바닥 밀착·눈 감김·어깨 이완	arms wrapped fully, palms pressed flat on the back, eyes closed, shoulders relaxed	두 팔 깊이 두르고 손바닥이 등에 밀착, 눈 감고 어깨 풀림	유대·위로·진정성	GST-05 정치포옹과 대조 한 쌍
GST-05	포옹	포옹(정치적·연출)	Political / A-frame Hug	상체만 살짝 기울여 어깨끝만 닿고 골반은 떨어진 채 카메라 의식	upper bodies tip in, shoulders touching but hips apart, an A-frame hug aimed at the cameras	어깨끝만 닿고 골반은 떨어진 A자 포옹, 카메라 의식	위선·연출·거리감	GST-04와 대조. 정치 쇼 풍자. EM-30 근접학
GST-06	박수	박수(진짜 환호)	Applause (Enthusiastic)	두 손바닥 빠르고 크게 부딪힘·팔 들림·상체 들썩·표정 환함	hands clapping fast and wide, arms raised, body bouncing, beaming face	손바닥 크고 빠르게 부딪히며 팔 들리고 상체 들썩 — 환호	열광·지지·축하	GST-23 비웃는 박수와 대조
GST-07	박수	박수(의례·건성)	Polite / Token Clapping	손끝만 느리게 가볍게 부딪힘·팔 안 들림·무표정	slow light clapping with just the fingertips, arms low, a blank face	손끝만 느릿 가볍게, 팔은 내린 채 무표정 — 건성 박수	형식·무관심·냉담	EM-02 사회적 미소와 세트. 의례 풍자
GST-08	손가락질	손가락질(비난)	Accusatory Point	검지를 상대·카메라로 쭉 뻗어 찌르듯·팔 펴짐·미간 조임	index finger stabbing forward at the target, arm extended, brows knit	검지를 상대·카메라로 쭉 찌르며 팔 뻗고 미간 조임	비난·책임전가·공격	EM-21 삿대질과 동계열 강화. 손 왜곡 NEG01 병기
GST-09	손가락질	가리키며 설명	Pointing to Explain	검지·손 전체로 자료·차트·방향을 짚으며 시선도 그쪽	an open hand or finger directing to a chart or document, gaze following the gesture	손이나 검지로 자료·방향을 짚고 시선도 그쪽으로	설명·제시·유도	GST-08(비난)과 톤 구분. 브리핑 풍자. NEG01
GST-10	주먹	주먹 쥐기(결의)	Clenched Fist (Resolve)	손가락 말아 단단한 주먹·팔 옆에 붙이거나 가슴 앞·관절 긴장	a tightly clenched fist held at the side or chest, knuckles taut	손가락 단단히 말아 옆이나 가슴 앞에 — 관절 긴장	결의·분노 억제·투지	EM-17 턱악물기와 세트. NEG01 병기
GST-11	주먹	주먹 치기(강조·내리침)	Fist Pound / Air Punch	주먹을 탁자에 내리치거나 허공을 내지름·반동으로 상체 흔들림	a fist pounding the table or punching the air, the upper body recoiling with force	주먹으로 탁자를 내리치거나 허공을 내질러 상체가 반동	격분·강조·시위	AN-24 비트제스처 극단. 충돌 풍자. NEG01
GST-12	엄지	엄지척(따봉)	Thumbs-up	주먹 쥐고 엄지만 위로·팔 들어 보이며 미소·카메라 응시	a fist with the thumb raised up, arm lifted to display it, a confident smile	주먹 쥐고 엄지만 척 세워 들어 보이며 미소	승인·과시·홍보	정치 홍보·셀카 풍자. NEG01
GST-13	절	절·고개숙임(사죄)	Bow / Apology Bow	허리 90도 가까이 굽히고 두 손 모아 앞·시선 바닥·정지 유지	bending deep from the waist near 90°, hands together in front, eyes on the floor, holding still	허리를 깊이 굽히고 두 손 앞에 모은 채 시선은 바닥 — 정지	사죄·복종·격식	한국 사과 회견 코어. AN-39 울음동작과 세트
GST-14	합장	합장·기도	Prayer / Pleading Clasp	두 손바닥 가슴 앞에 맞붙이고 손끝 위로·고개 약간 숙임·눈 감김	palms pressed together at the chest, fingertips up, head slightly bowed, eyes closed	두 손바닥 가슴 앞에 맞붙이고 손끝 위로, 고개 숙여 눈 감음	간청·경건·호소	EM-15 치켜뜬 눈과 조합 가능. 호소 풍자
GST-15	어깨동무	어깨동무	Arm Around Shoulder	한 팔을 상대 어깨에 두르고 끌어당겨 나란히·두 사람 같은 방향	one arm slung around the other's shoulder, pulling them in side by side, facing the same way	한 팔을 상대 어깨에 두르고 끌어당겨 나란히 같은 곳을 봄	친밀·연대·과시	GST-16 등두드림과 세트. 진심/연출 양가
GST-16	등 두드림	등 두드리기	Back Pat	한 손으로 상대 등·어깨를 토닥토닥·악수나 포옹에 곁들임	one hand patting the other's back or shoulder, often added to a handshake or hug	한 손으로 상대 등·어깨를 토닥토닥 — 악수·포옹에 곁들임	격려·위로·마무리 신호	GST-01·04에 부가. 진심/형식 양가
GST-17	손사래	손사래(부인)	Dismissive Wave	손바닥 펴 좌우로 흔들며 밀어내듯·고개 함께 가로젓기	an open palm waving side to side, pushing away, head shaking along	손바닥 펴 좌우로 흔들어 밀어내듯, 고개도 함께 가로저음	부인·거절·일축	해명·일축 풍자. EM-13 회피와 세트. NEG01
GST-18	외면	팔짱끼고 외면	Arms-crossed Turn-away	팔짱 낀 채 상체·고개를 상대 반대로 돌려 시선 끊음	arms crossed, torso and head turned away from the other, gaze cut off	팔짱 낀 채 상체와 고개를 반대로 돌려 시선을 끊음	거부·불통·냉대	EM-22 팔짱+AN-34 돌아서기 결합. 결렬 풍자
GST-19	대치	멱살·밀치기(몸싸움)	Grappling / Shoving	한 손이 상대 멱살·옷깃을 움켜쥐거나 양손으로 가슴 밀침·둘 다 균형 무너짐	a hand gripping the other's collar, or both palms shoving the chest, both off balance	한 손으로 멱살을 움켜쥐거나 두 손으로 가슴을 밀쳐 둘 다 휘청	충돌·격분·난투	2인 물리. PE-24 멀티주체+NEG01·손접촉. 국회 몸싸움 풍자
GST-20	연대	손 맞잡고 들기	Joined Hands Raised	두 사람이 서로 손을 맞잡아 함께 머리 위로 번쩍 들어올림·정면	two people clasping hands and raising them together high overhead, facing front	두 사람이 손을 맞잡아 함께 머리 위로 번쩍 들어올림	연대·승리·과시	선거 단상 코어. EM-31 자긍과 세트. NEG01
GST-21	경례	거수경례	Salute	손바닥 펴 이마·모자 챙 옆에 붙이고 팔꿈치 각 잡힘·차렷 자세	flat hand raised to the brow, elbow angled sharply, body at attention	손바닥 펴 이마 옆에 붙이고 팔꿈치 각 잡은 채 차렷	격식·복종·군기	의전·군경 풍자. NEG01
GST-22	선서	선서(손들기)	Oath / Raised-hand Pledge	오른손 펴 어깨 높이로 들고 손바닥 정면·표정 엄숙·왼손은 옆 또는 서류 위	right hand raised flat to shoulder height, palm forward, a solemn face	오른손 펴 어깨 높이로 들고 손바닥 정면 — 엄숙한 표정	맹세·공식·책임	청문회·취임 풍자. EM-41 발화표정과 세트. NEG01
GST-23	박수+조롱	박수치며 비웃기	Slow Mock-clapping	손바닥을 느리고 과장되게 천천히 부딪히며 입꼬리 비틀린 비웃음	slow, exaggerated sarcastic clapping, lips curled in a mocking smirk	손바닥을 느리고 과장되게 부딪히며 입꼬리 비튼 비웃음	조롱·경멸·반어	GST-06 환호박수와 정반대. EM-08 경멸과 세트. NEG01
GST-24	건네기	물건 건네기/받기	Handing / Receiving Object	한 손 또는 두 손으로 서류·봉투·선물을 내밀고 상대가 받는 2인 교환	one or both hands extending a document or envelope, the other reaching to receive it	한 손·두 손으로 서류·봉투를 내밀고 상대가 받는 교환	거래·전달·뒷거래(맥락)	두 손=격식. 뒷거래 풍자. PE-24 멀티주체·NEG01
GST-25	서명	펜 사인(서명)	Pen Signing	펜을 쥐고 서류에 서명·고개 숙여 집중·다른 손은 종이 누름	gripping a pen and signing a document, head bent in focus, the other hand steadying the paper	펜 쥐고 서류에 서명, 고개 숙여 집중하고 다른 손으로 종이 누름	합의·결정·확정	서류 던지기(GST-26)와 대조. 협정 풍자. NEG01
GST-26	던지기	서류 던지기/내밀기	Throwing / Slamming Documents	서류 뭉치를 탁자에 내던지거나 상대 앞으로 거칠게 밀어붙임·종이 흩날림	hurling a stack of papers onto the table or shoving it at the other, sheets scattering	서류 뭉치를 탁자에 내던지거나 상대 앞으로 거칠게 밀어 종이 흩날림	분노·폭로·결렬	GST-25(서명)와 대조. 폭로·항의 풍자. NEG01
GST-27	마이크	마이크 잡기	Gripping the Microphone	한 손으로 마이크를 바짝 움켜쥐고 입 가까이·상체 앞으로·시선 객석	one hand gripping the mic tight and close to the mouth, leaning in, eyes on the crowd	한 손으로 마이크 바짝 움켜쥐고 입에 가까이, 상체 기울여 객석을 봄	열변·장악·연설	EM-25 앞기울임·EM-41 설득표정과 세트. NEG01
