ID	한국어명	영문명	거리/크롭 기준	무엇을·왜(상황·감정 전달)	Gemini 키워드	카드 적용 노트(하단~40%는 자막 오버레이로 가려짐 — 핵심은 상단)	추천 조합(01b 샷·01c 앵글·17 구도 ID 참조)	비고
DF-01	비통 피크 — 눈·눈물 극단 클로즈	Grief Peak — Eyes & Tear Extreme Close	눈가만 프레임 가득(눈썹 아래~광대 위) / S10 ECU 영역	피해자·유족의 비통이 정점일 때 "얼굴 전체"가 아니라 젖은 눈 한 곳만 잘라 감정을 응축 — 거리가 0에 수렴할수록 관객이 그 슬픔에 직접 들어선다(프록세믹스)	extreme close-up of welling tearful eyes, glistening lower lash line, single tear about to fall, skin pores and reddened rims, shallow focus	눈을 상단 1/3 아이라인에 올려라 — 눈물이 흐르는 뺨·턱은 하단으로 빠져 자막에 가려도 OK(핵심=눈)	S10 ECU · H01 아이레벨 · O02 3/4 · COMP-39 빈 상단 · EM-16 눈물글썽	정지 우선. 영상=눈물 한 방울 1초 낙하(EM-16 🟡 물리 편차). IP 회피=특정 실존 인물 닮음 금지
DF-02	참는 분노 — 꽉 쥔 손 인서트	Contained Anger — Clenched Fist Insert	손 하나가 프레임 대부분(손목~손가락) / S13 인서트·S10 ECU	말·표정 대신 핏줄 선 주먹·하얘진 관절만 잘라 "삼킨 분노"를 보여줌 — 얼굴을 안 보여줘 오히려 긴장이 응축, 누구의 손인지보다 그 긴장이 주연	tight insert of a tightly clenched fist, knuckles whitened, tendons and veins raised on the back of the hand, taut skin	주먹을 상단~중앙에 크게 — 팔·소매는 하단으로. 손 왜곡 잦으니 NEG(손가락 6개 등) 병기	S13 인서트 · H02 하이 · COMP-21 프레임채우기 · EM-17 턱악물기 · GST-10 주먹	정지 우선. 영상=관절 미세 떨림. 손 왜곡 리스크 높음(05 네거티브 필수)
DF-03	불안·초조 — 떨리는 손·만지작	Anxiety — Trembling / Fidgeting Hands	맞잡거나 비트는 두 손 클로즈 / S10 ECU·S13	초조·거짓 해명의 "새는 불안"을 손에서 잡음 — 표정은 통제돼도 손은 누설(단서). 거리를 좁혀 그 작은 동요를 증거화	close-up of restless hands wringing together, fingers fidgeting and picking at each other, knuckles shifting, subtle tension	맞잡은 손을 상단~중앙. 무릎·허벅지 위 손이면 하단 잘림 주의 → 카메라를 끌어올려 손을 상단에 배치	S10 ECU · H02 하이 · COMP-12 전경차폐 · EM-24 얼굴만지기 · EM-40 깜빡임	정지 우선. 단서일 뿐 증거 아님(거짓 단정 금지). 영상=손가락 떨림 루프
DF-04	폭로·증거 — 서류·물건 매크로	Exposé — Document / Object Macro	종이·도장·돈 표면을 화면 가득 / S10 ECU·S13 + L13 100mm macro	특정 글자·서명·금액·물건 질감을 극대 매크로로 — "이것이 증거다"의 시각 선언. 사람 없이도 폭로의 무게가 선다	macro detail of a document surface, crisp paper grain, a stamped seal and signature line, shallow focus skimming the page	핵심 글자·도장을 상단 1/3에 둬라(하단 자막과 겹치면 못 읽음). 텍스트는 흐릿하게/가공해 IP·실문서 회피	S13 인서트 · H09 갓즈아이(탑다운) · COMP-21 프레임채우기 · CD-09 증거디테일	정지 우선. 실제 문서·로고·인장 복제 금지(가공·추상화). 영상=손이 페이지 넘김
DF-05	대치 — 두 인물 타이트 투샷	Standoff — Tight Two-Shot	두 얼굴이 한 프레임, 미디엄 이하 밀착 / S15 타이트 투샷	권력·진영의 정면 대치를 한 컷에 — 둘을 같은 프레임에 가두면 "엮인 갈등"이 즉시 읽힌다. 거리가 가까울수록 충돌 임박	tight two-shot of two figures facing off at close range, both faces readable, charged confrontational gap between them	두 얼굴을 상단 절반에 나란히 — 어깨 아래는 하단으로. 좌우 권력차는 높이(BLK-06)로	S15 타이트투샷 · H01/H03 · O03 프로필 · COMP-09 대각 · CD-07 대치	정지 우선. IP=실존 정치인 직접 닮음 회피(캐리커처 추상화). 영상=서로 노려봄 정지
DF-06	대치 강화 — 어깨너머(OTS) 압박	Confrontation — Over-the-Shoulder Pressure	전경 인물 뒤통수·어깨 흐릿 + 상대 얼굴 선명 / R01 OTS	전경 어깨를 차폐로 깔아 "지금 누가 누구를 마주하나"의 시점을 만든다 — 앉은 상대를 선 어깨너머로 내려보면 우열이 말없이 선다	over-the-shoulder shot, blurred foreground shoulder and back of head framing a sharp confronted face beyond	선명한 상대 얼굴을 상단 2/3에 — 전경 어깨는 측·하단 차폐로. 자막이 어깨 위에 얹혀도 무방	R01 OTS · H02 하이(앉은 상대) · COMP-12 전경차폐 · BLK-13 앉음/섬 · CD-07	정지 우선. 영상=전경 어깨 고정, 후경 인물 반응
DF-07	고립 — 군중 속 1인 미디엄	Isolation — One Figure in the Crowd	초점 1인 미디엄 + 흐린 군중 / S06 MS + L15 망원 압축	같은 화면 속 군중에 둘러싸였는데 혼자만 또렷 — 물리적으로 둘러싸여 더 외로운 고립. 망원 압축이 군중을 벽처럼 짓누른다	a single sharp figure isolated within a crowd, the surrounding people blurred and compressed, telephoto flattening	또렷한 인물 얼굴·상체를 상단~중앙에. 발치 군중은 하단으로 빠져 자막에 묻혀도 OK	S06 MS · H01 아이레벨 · COMP-26 패턴브레이크 · COMP-41 깊이압축 · BLK-09 군중블로킹	정지 우선. 영상=인물 정지, 군중만 흐르게
DF-08	부재·막막 — 와이드 풀백	Helplessness — Wide Pull-Back	인물이 아주 작게, 거대 공간 압도 / S02 EWS	참사·막막함·압도된 개인을 작게 던져 환경이 주연이 되게 — 거리를 극단으로 벌리면 관객도 인물과 멀어져 "어쩔 수 없음"을 느낀다(grief=원거리 고정)	extreme long shot, a tiny solitary figure dwarfed by a vast empty space, overwhelming scale, lonely composition	작은 인물을 상단 1/3 지평선 근처에 배치 — 하단 광활한 바닥·여백은 자막대로 활용(여백=고독)	S02 EWS · H04 버드아이 · COMP-17 여백 · COMP-27 지평선 · CD-03 막막 · BLK-17 관조거리	정지 우선. 영상=잠금 고정 풀백(움직임 최소가 더 막막). Nieman/grief 근거
DF-09	부재 — 빈 의자·빈자리	Absence — Empty Chair / Vacant Seat	인물 없이 흔적만, 빈 오브젝트 클로즈~미디엄 / S06 MS·S08	사람을 빼고 빈 의자·빈 책상만 — 부재가 인물보다 강하게 "없음"을 말한다. 비워진 자리가 곧 사라진 사람의 인덱스	an empty chair in a quiet room, soft window light, a single vacant seat implying a missing person, still and hushed	빈 의자를 중앙~상단에 또렷이 — 바닥·그림자는 하단으로. 인물 부재라 자막 공간 넉넉	S06 MS · H01 아이레벨 · O04 후면(의자 등돌림) · COMP-04 빈의자 · CD-02 부재	정지 우선. 등돌린 빈 의자=잊힌 자/떠난 자(연구 근거). 영상=정적·먼지만 떠다님
DF-10	익명·수치 — 목덜미·뒤통수 크롭	Anonymity / Shame — Nape & Back-of-Head Crop	얼굴 안 보이게 뒤통수·목덜미만 / O04 후면 + S07/S08 타이트	가해자 익명화·피해자 보호·고개 못 든 수치를 "얼굴 가림"으로 — 정체를 지우면 개인이 아닌 '유형'이 되고, 숙인 뒤통수는 수치를 증폭	tight crop on the back of a bowed head and nape, face hidden from camera, hair and collar, anonymous and downcast	뒤통수·목덜미를 상단 2/3에 — 어깨·등은 하단. 신원 식별 요소 제거(익명 보장)	S08 CU · O04 후면 · H02 하이(숙임 강조) · COMP-21 · EM-32 수치 · EM-14 내리뜬눈	정지 우선. 미성년·피해자·미확정 가해자 보호 기본값. 영상=고개 더 숙임
DF-11	결의·각오 — 정면 직시 클로즈	Resolve — Direct-Gaze Close-Up	얼굴 가득 + 카메라 정면 응시 / S08 CU·S09 빅CU + O01 정면	물러섬 없는 각오·고발을 정면 눈맞춤으로 — 거리를 좁히고 시선을 카메라에 박으면 관객을 직격, "당신에게 말한다"	close-up, subject staring directly into the lens, steady unwavering gaze, jaw set, resolute determined expression	눈을 상단 1/3 아이라인에 정확히 — 정면 응시라 시선이 자막 위 카피를 '가리키는' 효과	S08 CU · O01 정면 · H01 아이레벨 · COMP-28 정면직면 · CD-19 결의 · EM-12 직시	정지 우선. 영상=눈 깜빡임 절제·정지 응시
DF-12	위선·이중성 — 거울/반영 분할	Hypocrisy — Mirror / Reflection Split	실물 + 거울 속 다른 얼굴 한 프레임 / R07 거울 투샷 + COMP-32	겉과 속, 말과 행동의 이중성을 한 인물의 실상+반영으로 — 같은 거리에 두 얼굴을 놓아 "두 얼굴"을 즉물적으로 폭로	a subject and their reflection in a mirror sharing the frame, two contrasting faces of one person, duality exposed	실물 얼굴+반영을 좌우로 상단에 — 거울 프레임 하단·받침은 자막대로. 두 얼굴 다 상단 가독 유지	S08 CU · R07 거울투샷 · O02 3/4 · COMP-32 거울대칭 · CD-11 위선 · EM-11 혼합	정지 우선. 영상=한쪽만 미세 표정 변화(가면 누설)
DF-13	허세·과시 — 로우앵글 카우보이	Bravado — Low-Angle Cowboy	허벅지 위 + 아래서 올려봄 / S05 카우보이 + H03 로우	권력 과시·허세를 일부러 크게·위압적으로 잡아 풍자적으로 부풀림 — 올려보는 거리가 인물을 영웅처럼 키워 그 허세를 도리어 우스꽝스럽게	low-angle cowboy shot from mid-thigh up looking upward, the subject looming large and self-important, puffed-up posture	얼굴·가슴(파워포즈)을 상단에 크게 — 허리 아래·손은 하단. 과장될수록 풍자 효과(의도적)	S05 카우보이 · H03 로우 · O01 정면 · COMP-22 규모병치 · CD-12 과시 · EM-28 파워포즈	정지 우선. 과하면 코믹=풍자 의도엔 OK. 영상=느린 상승 부각
DF-14	몰락·실각 — 캔티드 하이 미디엄	Downfall — Canted High Medium	위에서 + 기울여 / S06 MS + H10 캔티드하이	실각·붕괴하는 권력을 위에서 내려보며 수평까지 기울여 "약화+불안정"을 이중으로 — 거리를 띄우되 각도로 무너뜨림	medium shot from a high angle with a tilted canted horizon, the figure looking small and destabilized, off-kilter frame	얼굴·상체를 상단에(기운 수평선이 상단 가로지르게) — 자막은 똑바로, 화면만 기울임	S06 MS · H10 캔티드하이 · O07 시선회피 · COMP-15 동적비대칭 · CD-13 몰락	정지 우선. 더치 남용 주의(한 카드에 1회). 영상=느린 기울기 가중
DF-15	관료적 부조리 — 갓즈아이 부감	Bureaucratic Absurdity — God's-Eye Top-Down	정수직 90도 부감으로 배치·동선 / S16 앙상블 + H09 갓즈아이	줄 세워진 책상·서류·사람을 신의 시선으로 내려봐 "체제의 무표정한 질서"를 — 거리를 수직으로 띄워 개인을 패턴·부품으로 환원	strict top-down god's-eye view of orderly desks and files and small figures arranged in a grid, fate-like geometric layout	격자 패턴 핵심부를 상단 2/3에 — 하단 줄은 자막에 묻혀도 패턴은 읽힘. 인물 표정 의도적으로 멀게	S16 앙상블 · H09 갓즈아이 · COMP-42 격자 · COMP-08 소실점 · CD-16 관료부조리	정지 우선. 영상=드론 상승/회전 부감
DF-16	충격·반전 — 초커(눈썹~입) 압박	Shock — Choker Crop	눈썹 위~입 아래만 / S12 초커 (CU와 ECU 사이)	경악·반전의 순간을 빅클로즈업보다 더 조여 "도망갈 데 없는 얼굴"로 — 거리를 한 단 더 좁혀 충격의 강도를 최대화	choker shot framing the face from just above the brows to just below the mouth, eyes wide in shock, gasping	눈·벌어진 입을 상단~중앙 가득 — 턱·목은 하단 잘림 OK(초커는 원래 입 아래 컷)	S12 초커 · H06 더치 · O01 정면 · COMP-21 프레임채우기 · CD-21 충격 · EM-06 놀람	정지 우선. 부담스러울 수 있음(반전 순간만). 영상=짧은 줌인 후 정지
DF-17	대등·합의 — 악수 손 인서트	Accord — Handshake Hands Insert	맞물린 두 손만 클로즈 / S13 인서트 + GST-01 악수	합의·거래·(맥락상) 뒷거래를 얼굴 없이 맞잡은 손으로 — 거리를 손에 고정하면 "행위 자체"가 주연, 누구인지보다 그 합의가 핵심	insert of two hands clasped in a handshake at equal height, firm grip, cuffs and sleeves, neutral even contact	맞물린 손을 상단~중앙에 크게 — 팔·몸통은 하단. 손 왜곡 잦음(NEG 병기). 한 손이 위면 기싸움(GST-02)	S13 인서트 · H01 아이레벨 · COMP-21 · CD-09 디테일 · GST-01 악수/GST-02 기싸움	정지 우선. 손 왜곡 리스크(05 네거티브 필수). 영상=악수 2~3회 흔듦
DF-18	사죄·복종 — 절·고개숙임 미디엄	Apology — Bow / Head-Drop Medium	허리 굽혀 숙인 상체 / S06 MS + GST-13 절	한국형 사과 회견의 핵심 — 90도 가까이 숙인 등·뒤통수를 잡아 "고개 든 얼굴" 대신 굴신 자체를 보여줌. 거리는 상체를 다 담되 표정은 가림	medium shot of a deep bow from the waist, head dropped low, hands clasped in front, the bent back and nape facing camera	숙인 등·뒤통수를 상단~중앙에 — 발·바닥은 하단. 얼굴 안 보여 자막이 '발화' 대신함	S06 MS · O04 후면/H02 하이 · COMP-17 여백 · GST-13 절 · EM-32 수치 · CD-08	정지 우선. 진심/연출 양가(풍자 여지). 영상=숙인 채 정지 유지
DF-19	결탁·음모 — 밀착 2인 속삭임	Collusion — Conspiratorial Whisper Close	두 머리 바짝 붙은 타이트 투샷 / S15 + EM-43 속삭임	뒷공작·밀담을 두 사람 머리를 붙여 잡아 "은밀한 거리"로 — 친밀 근접학(머리 닿을 거리)이 곧 결탁의 신호. 거리가 가까울수록 음모가 짙다	tight two-shot of two heads leaned close together whispering, one hand half-shielding the mouth, wary sideways eyes	맞댄 두 머리를 상단 절반에 — 어깨·손은 하단. 곁눈(EM-39)·가린 입이 상단에 보이게	S15 타이트투샷 · O03 프로필 · H01 · COMP-02 옹기종기 · EM-43 속삭임 · GST-19 밀착	정지 우선. IP=실존 인물 직접 닮음 회피. 영상=입만 작게 움직임
DF-20	감시·관찰됨 — 망원 전경차폐 와이드	Surveillance — Telephoto Foreground-Framed	멀리서 망원으로, 전경 사물에 가려 / S03 WS + L15 망원 + R09 전경프레이밍	대상이 "누군가 보고 있다"는 감시·도청·여론의 시선을 — 거리를 멀리 두고 전경 차폐로 엿보듯 잡아 관음·은밀을 만든다	a distant subject seen through foreground occlusion (blinds, leaves, a doorway), telephoto compression, surveillance feel	선명한 인물을 상단~중앙에 — 전경 차폐물은 가장자리·하단으로. 엿보는 프레임이 상단을 살짝 무는 정도	S03 WS · L15 망원 · R09 전경프레이밍 · COMP-11 프레임속프레임 · COMP-30 다중액자 · CD-17 감시	정지 우선. 영상=고정 잠금(감시카메라 톤). 엿보기=은밀 강조
DF-21	허탈·무력 — 천리안 응시 클로즈	Hollow Shock — Thousand-Yard Stare Close	초점 없는 먼 응시 얼굴 / S08 CU + EM-19 천리안	참사·충격 후의 넋 나간 허탈을 정면이되 초점 없는 눈으로 — 거리는 얼굴에 붙되 시선은 카메라를 통과해 "여기 없는 사람"을 만든다	close-up of a vacant thousand-yard stare, unfocused hollow eyes looking past the camera, expression emptied out, numb	초점 잃은 눈을 상단 1/3에 — 시선이 프레임 밖 먼 곳을 향해 자막 위 여백을 '바라보게'	S08 CU · O02 3/4 · H01 아이레벨 · COMP-19 노즈룸 · EM-19 천리안 · CD-01	정지 우선. 위기·참사 보도 톤. 영상=거의 정지·눈만 미세
DF-22	헌사·추모 — 로우앵글 와이드 헌정	Tribute — Low-Angle Wide Homage	아래서 올려보는 전신·와이드 / S03 WS + H03 로우	추모·헌사의 대상을 올려봐 존엄하게 — 비통(클로즈)과 달리 거리를 두고 우러러보는 각도로 "기림"의 톤. 하늘·빛이 인물을 받든다	low-angle wide shot looking up at a dignified figure or memorial, soft sky behind, reverent uplifting framing, honoring tone	인물 상체·얼굴을 상단에, 위로 트인 하늘 여백 활용 — 하단 바닥·헌화는 자막대로	S03 WS · H03 로우 · COMP-27 지평선(낮음) · COMP-17 여백 · CD-08 헌사 · EM-36 경외	정지 우선. CD-01 비통과 톤 구분(이건 우러름). 영상=느린 상승
DF-23	관계 위계 — 깊이 스테이징(전·후경)	Power Hierarchy — Depth Staging	전경 인물 크게 + 후경 인물 작게 / S06 MS + BLK-04 깊이스테이징	"누가 위인가"를 거리로 — 전경에 크게 선 자가 후경 작은 자를 시각적으로 압도. 같은 키라도 카메라와의 거리차가 곧 권력차	deep staging, one figure large in the foreground dominating a smaller figure far in the background, depth power gap	전경 인물 얼굴·상체를 상단에 크게, 후경 인물은 상단 한쪽 깊숙이 — 둘 다 상단 밴드 유지	S06 MS · H01/H03 · COMP-31 전중후경 · COMP-13 깊이레이어 · BLK-04 · BLK-06 권력포지셔닝	정지 우선. 영상=전경 고정, 후경만 움직임. 키 아닌 거리로 위계
DF-24	포위·압박 — 둘러싸인 1인 미디엄	Encirclement — Surrounded Figure Medium	중심 1인 + 사방 에워싼 머리·어깨 / S06 MS + COMP-03 둘러싸여	기자·취재진·세력에 포위된 한 명을 사방 차폐로 — 거리를 좁혀 에워싼 어깨·마이크가 프레임을 조이면 압박·심판이 즉시 읽힌다	a single figure hemmed in, surrounded on all sides by crowding shoulders and microphones, claustrophobic pressing frame	중심 인물 얼굴을 상단 중앙에 — 에워싼 어깨·마이크는 가장자리·하단으로 조여 들어오게	S06 MS · H02 하이 · COMP-03 둘러싸여 · COMP-41 깊이압축 · BLK-14 원형포위 · BLK-16 샌드위치	정지 우선. 영상=둘러싼 군중만 흔들림. 포토라인 풍자
DF-25	부조리 병치 — 인서트 컷어웨이 대비	Ironic Juxtaposition — Insert Cutaway Contrast	말/표면 + 상반된 디테일 두 요소 / S13 인서트·S14 컷어웨이	"말과 현실의 모순"을 한 화면 두 요소(웃는 얼굴↔빈 지갑, 약속↔잔해)로 병치 — 거리를 디테일에 맞춰 두 단서를 같이 잘라 풍자적 코멘트	juxtaposition of two contrasting details in one frame, a polished surface against a telling flaw, ironic visual comment	두 대비 요소를 상하/좌우로 — 핵심 대비는 상단 절반에 모아 자막이 둘을 잇는 캡션이 되게	S13 인서트 · S14 컷어웨이 · COMP-01 좌우분할 · COMP-33 대각3분할 · CD-15 아이러니	정지 우선. 풍자 코어(병치=코멘트). 영상=두 컷 교차편집
DF-26	군중·집단 — 익스트림 부감 패턴	Mass / Collective — Extreme Overhead Pattern	초고공 부감으로 군중을 패턴화 / S17 익스트림설정 + H04 부감	집회·인파·집단을 위에서 거시로 잡아 "사람의 바다"를 패턴·규모로 — 거리를 극단으로 띄워 개인이 사라지고 집단의 스케일만 남는다	extreme high overhead of a vast crowd reading as texture and pattern, individuals dissolving into mass scale	군중 밀도 핵심부를 상단 2/3에 — 하단 군중은 자막에 묻혀도 규모는 전달. 빈 광장 여백은 자막대로	S17 익스트림설정 · S02 EWS · H04/H09 부감 · COMP-25 반복 · COMP-42 격자 · CD-18 군중 · BLK-09	정지 우선. 영상=드론 상승으로 규모 확장
DF-27	위축·약자 — 하이앵글 움츠림 미디엄	Vulnerability — High-Angle Shrinking Medium	위에서 내려본 작아진 인물 / S06 MS·S05 + H02 하이	심문·압박당하는 약자를 위에서 내려봐 작고 위축돼 보이게 — 거리는 상체를 담되 각도로 짓눌러 "을의 위치"를 만든다	high-angle medium shot looking down on a figure shrinking with shoulders pulled in, made small and cornered, vulnerable	움츠린 어깨·고개를 상단~중앙에 — 위에서 본 정수리·등은 상단 차지, 발치는 하단	S06 MS · H02 하이 · O07 시선회피 · COMP-15 동적비대칭 · EM-29 움츠림 · EM-32 수치	정지 우선. BLK-13(앉음 권력차)과 세트. 영상=고개 더 숙임
DF-28	단절·등돌림 — 등진 인물 미디엄	Rupture — Turned-Back Medium	얼굴 안 보이게 등 돌린 상체 / S06 MS + O04 후면 + GST-18 외면	결렬·절교·불통을 "등 돌린 뒷모습"으로 — 얼굴을 거두면 관계 단절의 강한 신호. 앞을 향한 등이 향하는 방향(나가는 문 등)이 서사	medium shot of a figure turned away, back and shoulders to camera, walking off or facing a doorway, relationship severed	등·뒤통수를 상단~중앙에, 향하는 방향(문·출구)에 노즈룸을 상단으로 — 발·바닥은 하단	S06 MS · O04 후면/O06 백3/4 · COMP-19 리드룸 · BLK-12 가로막기 · GST-18 외면 · CD-02	정지 우선. 영상=느리게 멀어짐(리버스 트래킹)
DF-29	긴박·위협 — 광각 더치 클로즈	Imminent Threat — Wide Dutch Close	얼굴 가까이 + 광각 왜곡 + 기울임 / S08 CU + L06 24mm + H06 더치	닥쳐오는 위기·공포를 광각으로 얼굴에 바짝 붙여 왜곡·기울여 — 거리를 좁히고 광각으로 밀면 공간이 일그러져 불안이 신체화	wide-angle close-up tilted in a Dutch angle, the face pushed close with mild lens distortion, looming unstable dread	얼굴을 상단~중앙 가득(광각이라 약간 부풀음) — 기운 수평선이 상단 가로지르게, 자막은 똑바로	S08 CU · L06 24mm · H06 더치 · COMP-15 동적비대칭 · CD-06 긴박 · EM-04 두려움	정지 우선. 광각 얼굴 왜곡 의도적(공포). 영상=핸드헬드 흔들림
DF-30	안도·해방 — 어깨 떨군 미디엄	Relief — Shoulders-Dropped Medium	긴장 풀린 상체 + 약한 거리 / S06 MS·S07 + EM-38 안도	위기 모면·해방의 후련함을 "툭 떨군 어깨·길게 내쉰 숨"으로 — 비통·압박의 타이트와 달리 거리를 약간 벌려 풀린 몸 전체를 보여줌	medium shot of shoulders dropping and tension melting, a long exhale, a soft relieved smile, posture loosening, light	풀린 어깨·옅은 미소를 상단~중앙에 — 내린 손·하체는 하단. 밝은 빛 여백을 상단에	S06 MS · S07 MCU · H01 아이레벨 · COMP-18 헤드룸 · EM-38 안도 · CD-14 안도	정지 우선. CD-14 희망과 톤 인접. 영상=긴 날숨에 어깨 하강
DF-31	각성·폭로 정점 — 빅클로즈업 발화	Reveal Peak — Big Close-Up Speaking	얼굴 꽉 + 외치는/말하는 입 / S09 빅CU + EM-42 외침	폭로·규탄·절규의 정점을 얼굴 가득 빅클로즈업으로 — 거리를 최대로 좁혀 벌어진 입·부릅뜬 눈·목 힘줄이 프레임을 감정으로 가득 채운다	big close-up, mouth wide open mid-shout, neck tendons straining, brows clenched, eyes blazing, face filling the frame	부릅뜬 눈·벌어진 입을 상단 2/3 가득 — 턱·목 힘줄은 중·하단. 강도 높아 한 카드에 1회	S09 빅CU · O01 정면 · H01/H03 · COMP-21 프레임채우기 · EM-42 외침 · CD-04 분노	정지 우선. 부담 큼(클라이맥스 카드만). 영상=고함 정지 프레임
