ID	팁 제목	분류	핵심 내용(구도/시점 기법 — 바로 쓸 수 있게)	출처(플랫폼·크리에이터 유형)	적용(이미지/영상)	비고
CTP-01	눈높이에 카메라를 둬라	1인칭/POV	1인칭은 '사람 눈이 실제로 있는 높이'(서면 약 150cm)에 렌즈를 두는 게 핵심. 가슴·헬멧 마운트도 결국 이 높이를 흉내내는 것 — 너무 낮거나 높으면 즉시 '게임캠' 같아져 몰입이 깨진다	유튜브·브이로그 크리에이터	영상	V01/V03과 세트 — 거리·왜곡은 CTP-09. "camera at natural human eye level"
CTP-02	손과 소품을 프레임에 넣어라	1인칭/POV	1인칭 몰입의 1순위 트릭: 손이 화면에 들어와 문을 열고·물건을 집고·가리키게 한다. 손은 늘 움직이니 일부러 빼지 말고 그대로 둘 것. 거울뉴런이 시청자를 '내 손'으로 착각하게 만든다	유튜브 촬영 크리에이터	이미지·영상	V01·V15(인서트 POV) 강화. "hands enter frame interacting, opening/holding/pointing"
CTP-03	목이 아니라 코어로 돌려라	1인칭/POV	POV 팬은 손목·고개만 까딱하지 말고 몸통(코어)에서 돌린다 — 사람이 실제로 둘러보는 방식. 90도 회전에 약 3초. 빠르면 어지럽고 가짜 같다	유튜브 브이로그 크리에이터	영상	M-팬 어휘와 세트. "slow deliberate pan turning from the core, ~3s per 90°"
CTP-04	전경 차폐로 깊이를 훔쳐라	구도/프레이밍	렌즈 바로 앞에 잎·난간·어깨·유리 등 흐릿한 전경물을 두면 즉시 3층(전경·중경·배경) 깊이가 생긴다. 전경은 일부러 초점 밖으로 — 피사체 앞쪽이 뒤쪽보다 더 잘 흐려져 만들기 쉽다	사진·영화 크리에이터(Photzy·indepthcine)	이미지·영상	COMP-12와 구분(이건 '바로 쓰는 재료 처방'). "soft out-of-focus foreground element close to lens, 3-layer depth"
CTP-05	무엇이든 '통해서' 찍어라	구도/프레이밍	창틀·문틈·군중 머리·철망·유리잔 사이로 찍으면 프레임 속 프레임 + 차폐 + 맥락이 한 번에. 철망 너머=감금, 군중 너머=관음 식으로 의미까지 붙는다. 전경물은 화면을 꽤 채울 만큼 가까이	사진 크리에이터(Photzy)	이미지·영상	R09·COMP-11 현장판. "shoot through foreground object (window/crowd/fence/glass), frame-within-frame"
CTP-06	전경을 어둡게 눌러 시선을 몰아라	구도/프레이밍	전경 차폐물을 일부러 어둡게(촬영 또는 후반) 만들면 밝은 피사체로 시선이 빨려든다. 유리·물 같은 투명 전경은 반사·굴절로 화면에 멋까지 더한다	사진 크리에이터(Photzy)	이미지·영상	COMP-35(톤 분리)와 정합. "darken the foreground frame to push attention to the lit subject"
CTP-07	셀카는 팔을 끝까지 펴라	셀카/브이로그 구도	얼굴에서 멀수록 광각 왜곡(코·이마 부풀음)이 줄고 배경 여유도 생긴다. 반쯤 편 팔 < 완전히 편 팔 < 셀카봉·삼각대 순으로 비율이 좋아진다 — 거리가 곧 품질	사진·셀카 크리에이터(SignatureEdits 등)	이미지·영상	CTP-09(거리=왜곡)와 짝. "extend arm fully or use stick/tripod for distance, less wide-angle face distortion"
CTP-08	셀카·토킹헤드 얼굴은 중앙을 피해라	셀카/브이로그 구도	얼굴을 정중앙 말고 삼분할 교차점에 두면 즉시 프로 같아지고, 남는 쪽에 배경 맥락(=이야기)이 들어온다. 시선 방향 앞쪽에 여백(노즈룸)을 줄 것	셀카·브이로그 크리에이터	이미지·영상	COMP-05·19 현장판. "face on a thirds intersection, leave room in gaze direction"
CTP-09	거리가 왜곡을 결정한다	1인칭/POV	POV·셀카에서 광각으로 가까이 가면 손·팔·코가 부풀어 보인다(의도면 OK, 아니면 독). 자연스러운 1인칭은 적당한 거리 + 너무 넓지 않은 화각. FPS 게임 느낌을 원하면 반대로 0.5x 초광각으로 바짝	모바일 필름 크리에이터(TikTok keanu.visuals 등)	이미지·영상	L01~L03(광각)·V01 단서. "control lens-to-subject distance to dial first-person distortion"
CTP-10	빠른 셔터로 정점을 얼려라	액션 촬영	격렬한 동작은 빠른 셔터(1/1000초 이상)로 물방울·점프·발차기를 칼같이 정지. AI 프롬프트로는 "frozen mid-action, crisp motion, fast shutter, every detail sharp"로 '얼어붙은 순간'을 지시	스포츠 사진 크리에이터(Sony Alpha·Skylum)	이미지·영상	47(액션)과 구분 — 이건 '얼림 vs 흘림' 선택 처방. "fast shutter freeze at the peak of action"
CTP-11	패닝으로 속도를 흘려라	액션 촬영	반대로 속도감을 원하면 느린 셔터(1/60~1/125초)로 피사체를 따라 카메라를 움직인다 — 인물은 선명, 배경은 쭉 흐름. 모터스포츠·달리기·자전거에 강함. 프롬프트: "panning shot, sharp subject, motion-blurred streaking background"	스포츠 사진 크리에이터(Tamron·PhotographyMad)	이미지·영상	M-팬/트래킹과 세트. "panning: follow the subject at slow shutter, streaked background = speed"
CTP-12	반응하지 말고 예측해서 미리 눌러라	액션 촬영	결정적 순간은 보고 누르면 이미 늦다(셔터·반응 지연). 패턴·리듬을 읽고 정점 '직전'에 연사를 시작한다. 점프·스윙·캐치의 최고점을 노릴 것	스포츠 사진 크리에이터(PhotographyTalk·RMCAD)	이미지·영상	—. "anticipate and start the burst just before peak action, not after"
CTP-13	착지·통과 지점에 미리 초점을 걸어라	액션 촬영	움직이는 피사체를 쫓지 말고, 지나갈 지점(레일·램프 립·골대)에 미리 초점(존 포커싱)을 잠그고 피사체가 그 안으로 들어오길 기다린다 — 스트리트 사진가 수십 년 비법	스트리트·스포츠 사진 크리에이터(SLR Lounge·Fujifilm)	이미지·영상	V15·인서트와 연계. "pre-focus / zone focus on the landing or pass-through spot, wait for the subject"
CTP-14	로우앵글로 점프 높이를 뻥튀기하라	다이내믹 앵글	카메라를 땅에 붙이고 올려 찍으면 점프·그라인드의 높이와 깊이가 과장돼 영웅처럼 보인다. 스케이트·달리기·격투에 특히 강함. 핸드헬드면 카메라를 계단·턱·바닥에 받쳐 고정	스케이트·액션 사진 크리에이터(GoPro·ExpertPhotography)	이미지·영상	H01(로우앵글) 현장판. "ground-level low angle looking up to exaggerate jump height, hero feel"
CTP-15	초광각으로 바짝 붙어 맥락까지 담아라	액션 촬영	피사체에 코앞까지 붙되 초광각(어안 포함)으로 인물 + 주변(장애물·군중·하늘)을 한 프레임에. 액션의 '현장에 함께 있는' 박진감을 만든다 — 스케이트 어안의 정석	스케이트·액션 크리에이터(ExpertPhotography)	이미지·영상	V03(액션캠)·L어안. "get very close with an ultra-wide/fisheye to keep subject + surroundings"
CTP-16	동작 방향 앞쪽에 빈 공간을 비워라	액션 촬영	달리고·뛰고·차가 지나갈 '진행 방향' 앞쪽 프레임을 비워두면(리드룸) 들어갈 여지가 생겨 동작이 살아있게 보인다. 꽉 막힌 앞쪽 = 답답·정지감	사진·영화 크리에이터(Envato Tuts+)	이미지·영상	COMP-19(리드룸) 액션 적용. "leave lead room in the direction of motion/landing"
CTP-17	더치 틸트로 불안·혼돈을 심어라	다이내믹 앵글	수평을 일부러 비스듬히 기울이면(캔티드) 긴장·불안·정신적 동요가 즉시 전해진다. 클로즈업에 쓰면 폐소감까지. 풍자에선 '판이 기울어진' 상황 묘사에 강함	영화 크리에이터(MasterClass·Boords)	이미지·영상	기존 틸트 어휘 강화. "dutch tilt / canted angle, tilted horizon for unease and chaos"
CTP-18	가짜 지면 FPV는 360캠을 들고 달려라	FPV/액션캠 느낌	FPV 드론 없이도 지면 스침 비행감을 흉내내려면 360 액션캠을 손에 들고 낮게·빠르게 달린 뒤 후반에 리프레임. 드론 특유의 '벽·틈 통과 → 급강하 → 피사체로 돌진' 동선을 흉내낸다	DIY 영상 크리에이터(DIYPhotography)	영상	M-FPV/돌리 어휘. "fake ground-level FPV: handheld 360 cam run low and fast, reframe in post"
CTP-19	FPV의 맛은 위프(채찍 스냅)다	FPV/액션캠 느낌	FPV 특유의 리듬은 한 방향으로 홱 꺾었다 곧장 반대로 튕기는 '위프'와, 피사체를 따라 수평 회전하는 요잉(yaw). 이걸로 freestyle flow의 박진감이 산다 — 단 전체 기조는 느리고 안정되게	FPV 드론 크리에이터(akfilms·wrekd)	영상	M-무브 어휘. "FPV whip (quick snap and flick back) + yaw to follow subject"
CTP-20	폰을 몸에 붙여 핸즈프리 1인칭을 만들어라	1인칭/POV	셔츠 안에 케이스를 넣고 폰을 끼우면 즉석 가슴 POV, 모자 끈 밑에 끼우면 머리 POV — '내가 보는 것'을 그대로 찍는다. 입 마운트 + 0.5x는 미세한 고갯짓까지 잡아 자연스럽다	모바일 필름 크리에이터(TikTok keanu.visuals)	영상	V01/V03 제작 메모(AI 프롬프트엔 룩만 차용). "DIY hands-free first-person: phone in shirt (chest) or hat strap (head)"
CTP-21	OTS·핸드 POV로 화면·소품을 보여줘라	1인칭/POV	폰 화면·서류·돈을 보여줄 땐 어깨 너머(살짝 뒤·위)에서 손이 든 대상을 내려다보게. 어깨·뒤통수가 전경에 걸려 3층 깊이 + '시청자가 그 자리에 있는' 몰입이 동시에 생긴다	스마트폰 사진·제품 크리에이터(SmartphonePhotographyTraining·Wedio)	이미지·영상	R01·V15·V16 현장판. "OTS / hands-POV looking down at phone screen or document in hand"
CTP-22	피사체의 시선으로 다음 컷을 가리켜라	시선 유도	인물이 프레임 밖을 보면 시청자도 그쪽을 본다 — 이 '아이라인'으로 보는 자→보이는 대상의 인과를 만든다. 풍자에선 'A가 노려보는 곳' 다음 컷에 그 대상을 붙여 의미를 잇는다	편집·영화 크리에이터(BeverlyBoy·EditMentor)	이미지·영상	R08(아이라인 매치) 현장 운용. "subject's offscreen gaze cues the viewer's eye; cut to what they see"
CTP-23	움직임·밝기·색으로 시선을 끌어라(아이 트레이스)	시선 유도	시청자 눈은 본능적으로 움직임·가장 밝은 곳·가장 진한 색·구성선으로 끌린다. 핵심 요소에 이 단서를 몰아주면 강요 없이 시선이 그리로 간다. 컷도 '직전에 보던 위치'를 존중해야 안 헤맨다	편집 크리에이터(Artlist·EditMentor)	이미지·영상	VR(시각수사학)·COMP-07 현장판. "guide eye-trace with movement, brightness, color, and leading lines"
CTP-24	얕은 심도로 '여기 봐'를 강제하라	시선 유도	배경이 복잡할 때 얕은 심도(배경 흐림)로 피사체만 또렷하게 분리하면 시청자가 어디를 볼지 0.1초 만에 안다. 프롬프트: "shallow depth of field, subject sharp, background melted"	사진·영화 크리에이터(BeverlyBoy)	이미지·영상	L19(조리개)·CTP-04와 정합. "shallow DOF isolates the subject = instant attention cue"
CTP-25	전경·중경·배경 3층으로 '쌓아' 찍어라	구도/프레이밍	시네마틱의 비결은 장비가 아니라 한 프레임에 전경·중경·배경 세 층을 의도적으로 배치하는 것. <쥬라기월드> 스토리보드 작가도 렌즈 앞 '살짝 흐린 점' 하나를 늘 둔다	영화 크리에이터(Backstage·FilmmakersAcademy)	이미지·영상	COMP-13 현장 처방. "stack foreground + midground + background in one frame for cinematic depth"
CTP-26	피사체에 '맥락 소품'을 들려라	1인칭/POV	1인칭·토킹헤드에서 손이 그냥 비면 어색하다 — 컵·서류·리모컨·핸들 등 맥락 소품을 쥐어주면 손이 자연스럽고 장면 정보까지 전달된다. 풍자에선 '증거(돈·서류)를 든 손'이 강력	유튜브 브이로그 크리에이터	이미지·영상	V15·MT-35/36(증거 인서트)와 연계. "give the hands a context prop to hold, looks natural + tells the scene"
CTP-27	브이로그는 와이드→POV 순으로 풀어라	셀카/브이로그 구도	먼저 삼각대 와이드(설정샷)로 '여기가 어디'를 보여주고, 그다음 1인칭 탐색으로 들어가면 시청자가 공간을 이해한 채 몰입한다. 무작정 1인칭부터면 길을 잃는다	유튜브 브이로그 크리에이터(KraftGeek)	영상	21(편집전환)·서사 순서. "open on a wide establishing shot, then move into POV exploration"
CTP-28	규모 병치로 권력을 한 컷에 보여라	구도/프레이밍	큰 인물 vs 작은 인물(또는 거대 배경 vs 왜소한 사람)을 한 프레임에 병치하면 권력·압도 관계가 즉시 읽힌다 — 풍자 캐리커처의 핵심 무기	사진·영화 크리에이터(Tutsplus 등)	이미지·영상	COMP-22 현장 운용. "scale juxtaposition: towering figure vs tiny figure for power contrast"
CTP-29	1인칭은 호흡·걸음 리듬으로 진짜가 된다	1인칭/POV	완벽히 매끈한 POV는 오히려 가짜 — 걸을 때 미세한 상하 바운스, 멈출 때 가벼운 호흡 흔들림을 남기면 '사람이 들고 있는' 생생함이 산다. 단 흔들림이 과하면 몰입이 깨지니 적당히	유튜브·브이로그 크리에이터	영상	M16(핸드헬드)와 정합. "subtle walk-bounce / breathing sway keeps first-person feeling human"
CTP-30	빈 상단을 남겨 자막 자리를 확보하라	구도/프레이밍	쇼츠·릴스는 상단(또는 중앙 세로 띠)에 자막·타이틀이 얹히니 그 자리를 일부러 비워 구도를 짠다. 피사체를 그 밴드 밖에 두면 텍스트와 안 겹친다	쇼츠·릴스 크리에이터	이미지·영상	COMP-39·40·GT-01과 세트. "leave deliberate empty top/center band for caption or title overlay"
CTP-31	도어·삼각대 '함정 카메라'로 등장을 잡아라	다이내믹 앵글	폰을 문·벽·바닥에 테이프로 고정해두고 그 앞으로 걸어 들어가면 완벽한 '등장' 컷이 잡힌다 — 손 없이도 결정적 순간을 무인으로 포착. 액션·전환에 강함	모바일 필름 크리에이터(TikTok)	영상	M-고정·21(전환). "tape the phone to a door/wall and walk into frame for a clean entrance"
CTP-32	연사로 정점을 '한 장'이 아니라 '구간'으로 잡아라	액션 촬영	8~20fps 연사로 정점 구간을 통째로 담은 뒤 베스트 한 컷을 고른다 — 한 번에 완벽을 노리지 말 것. 캐치·스윙·점프의 최고 순간 확률이 급등	스포츠 사진 크리에이터(Sony Alpha·CameraSettings)	이미지·영상	CTP-12와 짝. "burst 8-20fps across the peak, then pick the best frame"
