ID	팁 제목	분류	핵심 내용(기법 — 바로 쓸 수 있게)	출처(플랫폼·크리에이터 유형)	적용(이미지/영상/편집)	비고
CTS-01	0~3초 이탈 방어	훅·리텐션	이탈의 50~60%가 첫 3초에 발생 — 인트로·로고·"안녕하세요" 전부 삭제하고 첫 프레임에 바로 가장 센 장면을 둔다. 3초 시점에서 "왜 계속 봐야 하는지"가 이미 전달돼야 함	YouTube Shorts 그로스 블로그(OpusClip·Conbersa)	편집	"Viewed vs Swiped" 70%+ 가 훅 작동 신호(통설 수치). 노뮤트 시사훅=첫 컷에 갈등 정점
CTS-02	첫 프레임 모션	훅·프레이밍	정지 컷으로 열지 말 것 — 첫 프레임에 움직임(얼굴 돌아봄·손 진입·물 따름·반응 컷). 액션이 아니어도 '모션'이면 스크롤 관성을 끊는다	릴스·쇼츠 크리에이터 통설(vidIQ·Skeepers)	영상/편집	이미지 생성단에선 '막 움직이려는 순간' 포즈로 첫 프레임 동세 확보(M 무브먼트와 짝)
CTS-03	스냅줌·휙팬 패턴 인터럽트 진입	훅·편집	1초 안에 하드컷·휙팬(whip-pan)·스냅줌·시각적 미스매치 중 하나를 넣어 피드 리듬을 깬다 — "정돈된 완성도보다 패턴 파괴가 이긴다"	pattern-interrupt 편집 가이드(LightningIM·PrePublish)	편집	남발 금지(디지털 채찍질) — "의도된 파괴" 1발. 06 무브먼트 휙팬과 연계
CTS-04	텍스트 훅 7단어 룰	훅·자막	첫 1~2초에 화면에 뜨는 텍스트 훅은 한 주장·최대 7단어로 — 길면 못 읽고 스크롤. 큰 폰트·고대비로 즉시 가독	쇼츠 훅 공식 블로그(OpusClip·alfawaz)	편집	한글 텍스트는 후반 합성(생성단 깨짐, 31 GT-04). 생성은 상단 자막 공간만 비워둠(COMP-39)
CTS-05	호기심 갭 질문 훅	훅·서사	"왜 큰 크리에이터는 전 과정을 안 보여줄까?"식 — 특정 고충 공감·통념 반박·내부 정보 암시로 정보 격차를 열어 닫고 싶게 만든다	TikTok·쇼츠 훅 큐레이션(Conbersa·Azura)	편집	노뮤트=시사 쟁점을 질문화("이 발언, 진짜 뜻은?"). 답은 페이오프에서 닫음(CTS-19)
CTS-06	세로 안전영역 구도(9:16)	프레이밍·구도	1080×1920 중 핵심은 가운데 세로 띠(약 900×1400) 안에. 하단 ~20%(좋아요·댓글·공유 UI)·우측 ~10%·상단 ~10%(타이틀·노치) 비우기	플랫폼 세이프존 가이드(House of Marketers·AdxMagic)	이미지/영상/편집	AR-01·COMP-40과 정합. 자막·CTA·얼굴 전부 안전영역 안
CTS-07	세로는 중앙 정렬(삼분할 예외)	프레이밍·구도	가로의 삼분할과 달리 세로 쇼츠는 좌우 UI가 양옆을 먹어 '중앙 정렬'이 기본 — 피사체를 수평 중앙에, 눈높이는 상단 30~35% 지점에 둬 헤드룸 확보+상단 UI 회피	세로영상 세이프존 가이드(Medium·Clickyapps)	이미지/영상	COMP-18 헤드룸·COMP-40 수직적층과 세트. 인물 직캠 정본
CTS-08	타이트 클로즈업 우선	프레이밍·구도	세로는 와이드가 작게 보임 — 얼굴·손·물체를 꽉 채운 타이트 클로즈업이 폰에서 점유·몰입이 크다. 빠른 스와이프 환경엔 꽉 찬 프레임이 유리	세로영상 베스트(Vidu·edicionvideopro)	이미지/영상	COMP-21 프레임채우기·01b 클로즈업과 연계. 군중·풍경은 9:16서 압축됨 유의
CTS-09	하단 자막칸 비우는 프레이밍	프레이밍·구도	말자막이 하단 중앙에 깔리므로 생성·촬영 단계에서 하단 1/3에 핵심 피사체·중요 디테일을 두지 않는다 — 자막에 가려짐	캡션 베스트프랙티스(Blitzcut·SocialzAI)	이미지/영상	31 GT-01 로어서드·COMP-39와 한 묶음. 얼굴은 상단 60%
CTS-10	얼굴 직시 훅	훅·프레이밍	렌즈를 똑바로 보는 표정 강한 얼굴(놀람·분노·호기심)은 강력한 훅 — 정면 응시로 1:1 대결감·심리 연결을 즉발	쇼츠 훅 아이디어(vidIQ·JoinBrands)	이미지/영상	COMP-28 정면직시·22 표정(FACS)과 정합. 노뮤트=풍자 캐릭터 정면 클로즈
CTS-11	러닝·진입 동세 훅	훅·프레이밍	카메라로 달려오기·손/물체가 프레임 안으로 훅 들어오기·기이한 물체 클로즈업 — '이쪽으로 다가오는' 동세가 시선을 붙든다	쇼츠 비주얼훅 통설(vidIQ·Skeepers)	영상	M 무브먼트·07 시점과 짝. 첫 프레임 모션(CTS-02)의 구체 변형
CTS-12	1.5~2초 컷 리듬	페이싱·편집	컷·텍스트·줌·앵글 중 하나를 1.5~2초마다 바꿔 화면을 계속 갱신 — 멈춤·군더더기 제거. "타이트한 20초가 느슨한 45초를 이긴다"	리텐션 편집 가이드(virvid·AIR Media-Tech)	편집	노뮤트 쇼츠 컷표에 반영. 과편집 주의(CTS-03 균형)
CTS-13	8초 무변화 금지	페이싱·서사	비주얼 변화 없이 8초 이상 말하면 이탈 — 첫 2~3컷 속사 후 5~8초마다 시각/청각 전환을 넣는다. 15초 무전환이면 드롭 확정	페이싱·스토리텔링 가이드(Gurkha·1of10)	편집	지침 15s 서사·분막 원칙과 정합. B롤·줌·자막으로 끊기
CTS-14	펀치인 줌 강조	페이싱·편집	펀치라인·핵심 수치·감정 정점에서 살짝 펀치인(미세 줌). "효과가 싸우는 게 아니라 강조로 느껴질 만큼" 절제, 음악 드랍·자막과 리듬 맞춤	편집 줌 가이드(OpusClip·SmoothCapture)	편집	말하는 톤헤드 정적 보정. AU 비트싱크·31 GT-05 슬램과 동기
CTS-15	B롤 2~5초·말과 1:1	페이싱·편집	B롤은 지금 말하는 내용을 '정확히' 그림으로 보여줄 때만 — 막연히 관련된 컷 금지. 조각당 2~5초로 짧게, 정지 사진은 켄번스(느린 줌)로 살림	B롤 편집 가이드(Captions.ai)	영상/편집	노뮤트=발언 인용 시 해당 장면 생성 컷 삽입. M01 달리·돌리인 변형
CTS-16	루프 엔딩(끝→처음 연결)	루프·리텐션	끝 프레임이 첫 프레임으로 자연스레 이어지게 — 완결률·재생수(랭킹 신호) 상승. 촬영 시 '엔딩 먼저' 찍고 편집에서 맨 뒤로, 본론을 가운데	루프 제작 가이드(thesocialcat·faceless.so)	영상/편집	완성률 = 알고리즘 핵심. 노뮤트 짧은 쇼츠에 적합
CTS-17	휙팬·오디오로 루프 이음새 숨기기	루프·편집	끝에서 빠른 팬/휙으로 모션블러를 만들고 바로 처음으로 컷 — 흐림이 이음새를 가린다. 완벽 루프되는 음악/효과음을 쓰면 미세한 시각 점프도 안 들킴	seamless 루프 기법(toolify·Vistaar)	영상/편집	06 휙팬·AU 루프음과 세트. CTS-16 루프의 실행 디테일
CTS-18	오픈 루프·미니 티저	서사·리텐션	"이게 왜 중요한지 잠시 뒤에"식 미니 오픈 루프를 본론 중간중간 심어 페이오프 전 이탈을 막는다 — 큰 떡밥은 다음 편으로 넘겨 구독·정주행 유도	스토리텔링 가이드(1of10·Socialync)	편집	노뮤트 시리즈물(2~3분막·후속편)에 활용. 떡밥-회수 구조
CTS-19	페이오프 선공개(역구조)	서사·리텐션	결론·반전·펀치라인을 먼저 던지고 "어쩌다 이렇게 됐는지"를 풀어가는 역방향 구조 — 쇼츠는 결과부터 보여줘야 남는다	쇼츠 구조 가이드(Socialync·automateed)	편집	노뮤트=풍자 결론 선제시 후 근거 전개. 훅(CTS-05)과 한 쌍
CTS-20	넘버링·진행표시	서사·자막	"3가지 중 2번"식으로 포인트에 번호를 붙여 진행을 추적하게 만든다 — 시청자가 끝(완결)을 기대하며 머문다	스토리텔링 가이드(1of10·automateed)	편집	한글 번호 자막=후반 합성. 31 GT-13 프로그레스바와 연계
CTS-21	워드바이워드 자막(가라오케)	자막·리텐션	발화에 맞춰 단어별 하이라이트(가라오케형) — 매 단어가 화면에 모션을 만들어 무음 시청자·유음 시청자 둘 다 잡는다. 2026 최우세 스타일	캡션 트렌드(Braiv·Blitzcut·Karadeo)	편집	31 GT-02 키네틱캡션 실행판. 노뮤트=풍자 키워드 강조 타이밍
CTS-22	자막 고대비·하단 중앙 배치	자막·가독	흰글+검정 외곽선 또는 노랑+검정 외곽선, 하단 '중하단 1/3'에 배치 — 어떤 배경에도 읽힘+눈을 계속 움직이게 함. 폰트는 굵은 산세리프	캡션 스타일 2026(Blitzcut·SocialzAI)	편집	31 GT-06 스타일링과 정합. 하단 UI(CTS-06) 위로 살짝 올림
CTS-23	자막 스피드 매칭	자막·페이싱	자막 등장 속도를 말 속도와 일치 — 한 번에 1~3단어/짧은 구절씩 끊어 띄워 읽기 부담을 줄이고 페이스감을 만든다	캡션 베스트(Braiv·autosubtitles)	편집	CTS-12 컷리듬과 동기. 긴 문장 통째 노출 금지
CTS-24	첫 프레임=커버 썸네일성	프레이밍·훅	피드 결정은 타이틀+첫 프레임(커버)으로 난다 — 시각적으로 강한 프레임(표정·굵은 텍스트·강렬 이미지)으로 열면 자동 커버가 커스텀 썸네일만큼 먹힌다	쇼츠 썸네일 베스트(Mediacube·TubeBuddy)	이미지/영상/편집	"얼굴 하나+텍스트 하나+깔끔 배경" 공식. 상단 UI 가림 회피(CTS-06)
CTS-25	커버 텍스트 상단 배치	프레이밍·자막	커버용 텍스트는 크고 모바일 가독으로, 맨아래·우측 끝(좋아요·공유·타이틀 UI)은 피해 상·중단에 — 한 화면에 텍스트 1요소만	쇼츠 썸네일 가이드(WildandFree·Conbersa)	편집	CTS-04 7단어 훅과 한 묶음. AR-02 카드 상단 60% 원칙과 동일 결
CTS-26	감정 표정 커버	프레이밍·훅	놀람·흥분·호기심 같은 명확한 감정 얼굴 커버가 무표정보다 일관되게 우세 — 밝고 굵은 대비로 피드에서 튀게	쇼츠 썸네일 베스트(Mediacube·vidIQ)	이미지/영상	22 표정(FACS)·CTS-10과 연계. 노뮤트 풍자 캐릭터 과장 표정
CTS-27	무음 시청 대비 자막 필수	자막·리텐션	릴스 다수가 사운드 OFF로 소비 — 말자막이 사실상 필수(없으면 메시지 0). 동시에 매 단어 모션이 유음 시청자 리텐션도 올림	캡션 가이드(Braiv·SocialzAI) / 업계 통설	편집	31 GT-02 비고와 정합. 무음에서도 메시지 완결되게 설계
CTS-28	콜드오픈·세팅 생략	훅·서사	맥락·배경설명으로 천천히 여는 '슬로 빌드'는 롱폼용 — 쇼츠엔 독. 배경 스토리 빼고 곧장 본론/긴장으로 콜드오픈	리텐션 가이드(virvid·OpusClip)	편집	CTS-01·CTS-19와 한 묶음. 노뮤트=상황설명 자막 1줄로 압축
CTS-29	A/B 훅 테스트	리텐션·운영	같은 본론에 훅만 3종으로 바꿔 연속 게시 후 리텐션 곡선 비교 — 첫 3초 급락이면 훅이 범인. 데이터로 훅을 고른다	쇼츠 분석 가이드(OpusClip·alfawaz)	편집	"통설 수치"(70% Viewed) 기준 점검. 노뮤트 반복 게시 운영 루틴
CTS-30	이펙트 과적 금지	페이싱·편집	패턴 인터럽트·줌·스티커를 연달아 쌓으면 '디지털 채찍질'로 역효과 — "의도된 파괴"만 골라 넣고 효과끼리 등 붙이지 말 것	pattern-interrupt 가이드(PrePublish·LightningIM)	편집	CTS-03·12·14의 안전판. 31 GT-15 이모지 절제와 동일 취지
